method,env,T,seed,checkpoint,score,n_source_rows,n_valid_rows,n_sampled_rows,d_critic_current,d_final_current,d_target_deterministic,d_target_smoothed,current_state_proxy,polyak_lag,target_noise_draws,n_nan,n_inf
td3,halfcheetah-medium-replay-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau4_seed1/params_1000000.pkl,47.4340602192118,202000,201798,4096,0.1092728380179414,0.10579506030276577,0.10807329273136901,0.13476305520726878,0.10927283803706293,0.0029978617575452653,64,0,0
mpi2,halfcheetah-medium-replay-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau4_mpi2_seed1/params_1000000.pkl,49.5710270473826,202000,201798,4096,0.0983814243161315,0.141669076031088,0.09828419968067692,0.12580870006536388,0.09838142420706333,0.0026634603515167487,64,0,0
mpi3,halfcheetah-medium-replay-v2,4.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau4_mpi3_seed1/params_1000000.pkl,48.57245464683448,202000,201798,4096,0.09516848854903395,0.14197241946998207,0.09416407008592032,0.1216699758810768,0.09516848858961074,0.002715667114466371,64,0,0
td3,halfcheetah-medium-replay-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau7_seed0/params_1000000.pkl,49.304427469874895,202000,201798,4096,0.12704741065654065,0.1242406364755403,0.12552378995634328,0.15149268579983055,0.12704741080550389,0.0026939731847224267,64,0,0
mpi2,halfcheetah-medium-replay-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau7_mpi2_seed0/params_1000000.pkl,52.134248223409195,202000,201798,4096,0.10616952155208652,0.16046663263964747,0.10536988156252391,0.13217844589131522,0.10616952155607483,0.0031041484948613474,64,0,0
mpi3,halfcheetah-medium-replay-v2,7.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau7_mpi3_seed0/params_1000000.pkl,51.447554263909254,202000,201798,4096,0.10109404119681994,0.16241714431943316,0.1006900708354479,0.12789007046924428,0.10109404119017726,0.0024531688542929675,64,0,0
td3,halfcheetah-medium-replay-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau7_seed1/params_1000000.pkl,51.84143044423981,202000,201798,4096,0.12344237748223734,0.12137875484639685,0.12149199568399283,0.14739761379713157,0.12344237747482849,0.0027588023113895277,64,0,0
mpi2,halfcheetah-medium-replay-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau7_mpi2_seed1/params_1000000.pkl,51.20294655736242,202000,201798,4096,0.10638634249649623,0.15439943856575228,0.10711257106871841,0.13374297696783238,0.10638634248066858,0.0022735586796088936,64,0,0
mpi3,halfcheetah-medium-replay-v2,7.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau7_mpi3_seed1/params_1000000.pkl,51.90417289475815,202000,201798,4096,0.10122949268032648,0.15847550269829258,0.09987592858388794,0.12695460413416104,0.10122949265746897,0.0029014269967904864,64,0,0
td3,halfcheetah-medium-replay-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau10_seed0/params_1000000.pkl,52.629263568996976,202000,201798,4096,0.1442262002985882,0.1427977204696952,0.1435109357717863,0.1687301253525568,0.14422620022456545,0.0029983824104065433,64,0,0
mpi2,halfcheetah-medium-replay-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau10_mpi2_seed0/params_1000000.pkl,53.44553645469274,202000,201798,4096,0.11595990846867422,0.17333833418612535,0.11623001044326564,0.14258085325068076,0.11595990848333798,0.003143265071390826,64,0,0
mpi3,halfcheetah-medium-replay-v2,10.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau10_mpi3_seed0/params_1000000.pkl,53.63928165861541,202000,201798,4096,0.1047760657298682,0.18130023849797103,0.10447942608519512,0.131362712851756,0.10477606566403666,0.0029638306717341585,64,0,0
td3,halfcheetah-medium-replay-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau10_seed1/params_1000000.pkl,53.0299116676629,202000,201798,4096,0.14106569007243774,0.1418734072543647,0.1394310294084633,0.16387121186006864,0.14106569014213566,0.0025799757768033894,64,0,0
mpi2,halfcheetah-medium-replay-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau10_mpi2_seed1/params_1000000.pkl,52.793863732197934,202000,201798,4096,0.11728576467548706,0.17956009234146567,0.11587869894185587,0.14225678786487367,0.11728576453964926,0.0025759531044581485,64,0,0
mpi3,halfcheetah-medium-replay-v2,10.0,1,/home/ext_csv/mpi_sweep_lab/results_mpi3/halfcheetah-medium-replay-v2_tau10_mpi3_seed1/params_1000000.pkl,52.015857936155186,202000,201798,4096,0.10706214678145,0.1826094403449757,0.10816603870951269,0.13488136926754504,0.10706214666003047,0.002893240000068107,64,0,0
td3,halfcheetah-medium-replay-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/halfcheetah-medium-replay-v2_tau14_seed0/params_1000000.pkl,52.464537395421864,202000,201798,4096,0.15950809076800912,0.16301898532949916,0.16273793493855848,0.1856400128319607,0.15950809055868653,0.0031094505027882734,64,0,0
mpi2,halfcheetah-medium-replay-v2,14.0,0,/home/ext_csv/mpi_sweep_lab/results_mpi2/halfcheetah-medium-replay-v2_tau14_mpi2_seed0/params_1000000.pkl,53.4693234120779,202000,201798,4096,0.12478377076620668,0.19849413648875863,0.12666898150891548,0.15251863870544508,0.12478377072843316,0.0031519911330496167,64,0,0
