method,source_method,env,T,seed,checkpoint,score,collapsed_10,collapsed_20,collapsed_30,collapsed_40,td_error_mean,td_error_p50,td_error_p90,td_error_p99,td_error_max,q_abs_mean,q_abs_p99,critic_loss,d_critic,d_final,joint_critic_gain,common_critic_gain,n_nan,n_inf
prox2,mpi2,halfcheetah-medium-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau10_mpi2_seed1/params_1000000.pkl,58.30389896668813,0,0,0,0,22.38171599342786,6.789493083953857,42.20752105712892,224.49521972656242,,518.8773193359375,556.5816650390625,24.24721336364746,0.040117439551948034,0.06100576045262585,2.691650077700615,2.461216002702713,0,0
prox2,mpi2,halfcheetah-medium-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed0/params_1000000.pkl,61.167643783172046,0,0,0,0,18.366438753408147,5.464643239974976,41.37047767639167,152.12047943115218,,532.7669677734375,569.2261352539062,20.631206512451172,0.047841514450209885,0.0773641650845529,2.7837028205394745,2.584896683692932,0,0
prox2,mpi2,halfcheetah-medium-v2,14.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau14_mpi2_seed1/params_1000000.pkl,59.90783117530639,0,0,0,0,19.16921105494839,5.47948956489563,31.507969284057626,175.66855682373043,,528.8720703125,563.5313720703125,18.553394317626953,0.04565419743925348,0.07448373988809277,2.638162538409233,2.4396457374095917,0,0
prox2,mpi2,halfcheetah-medium-v2,20.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed0/params_1000000.pkl,61.55777396316084,0,0,0,0,16.6290091877745,6.60189962387085,34.62366867065433,134.068502426147,,550.3458251953125,587.12939453125,15.686613082885742,0.05549241895121398,0.0920029043700471,2.833625040948391,2.442493259906769,0,0
prox2,mpi2,halfcheetah-medium-v2,20.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/halfcheetah-medium-v2_tau20_mpi2_seed1/params_1000000.pkl,61.949621447087765,0,0,0,0,17.3311373304241,5.028388977050781,37.596076583862306,134.40086029052733,,549.4449462890625,585.922607421875,18.660356521606445,0.05749863736219919,0.09434934202127296,2.9127913415431976,2.5953053534030914,0,0
prox2,mpi2,hopper-expert-v2,4.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau4_mpi2_seed0/params_1000000.pkl,99.55971176369862,0,0,0,0,0.5530099740590231,0.16942233592271805,1.2576221466064454,4.677499680519097,,345.73724365234375,373.3994140625,1.087160348892212,0.05243113218996566,0.0544623713367675,0.06397464871406555,0.05940036475658417,0,0
prox2,mpi2,hopper-expert-v2,4.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau4_mpi2_seed1/params_1000000.pkl,104.32904370716949,0,0,0,0,0.5838871649484645,0.1385631188750267,1.1528904080390932,7.607050828933708,,346.66204833984375,373.67730712890625,0.5809217691421509,0.050892127663132315,0.05321985622928947,0.0627162829041481,0.06247095763683319,0,0
prox2,mpi2,hopper-expert-v2,7.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau7_mpi2_seed0/params_1000000.pkl,6.703025897075967,1,1,1,1,1720886189611.3125,236164005888.0,2639084073779.2007,29468080702750.69,,74955264.0,183276400.0,2040735465472.0,0.09786486935167774,0.18778217970196032,1771872.28125,-0.4437505006790161,0,0
prox2,mpi2,hopper-expert-v2,7.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau7_mpi2_seed1/params_1000000.pkl,15.454099020081062,0,1,1,1,1562916545147.125,201458671616.0,2424967685734.4014,24106815381831.67,,51801280.0,157332800.0,1604721704960.0,0.11387328713641048,0.25152942092927766,1649057.4453125,-0.17412613332271576,0,0
prox2,mpi2,hopper-expert-v2,10.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau10_mpi2_seed0/params_1000000.pkl,3.6337274219851694,1,1,1,1,77078370.1362915,7422485.25,88035462.4,1207802936.32,,389793.375,1180341.375,54376152.0,0.13086514448707198,0.2761708823037821,12086.33039855957,-0.36681078281253576,0,0
prox2,mpi2,hopper-expert-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau10_mpi2_seed1/params_1000000.pkl,1.819903610444258,1,1,1,1,3.9271543308760987e+23,3.2803843184837845e+23,9.038469007961721e+23,1.82034639164716e+24,,1251894099968.0,3717630001152.0,3.4077300831311487e+23,0.7801056040561101,0.90071722582669,579894004190.1641,-1.0478903949260712,0,0
prox2,mpi2,hopper-expert-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau14_mpi2_seed0/params_1000000.pkl,0.6810438912339154,1,1,1,1,15319825820.855957,4800126720.0,35233302118.40002,172192972144.63998,,7511533.5,9669677.0,16563525632.0,0.14868608824351104,0.348765541637483,183235.78076171875,-1.1198289394378662,0,0
prox2,mpi2,hopper-expert-v2,14.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau14_mpi2_seed1/params_1000000.pkl,1.819903610444258,1,1,1,1,1.7506544103562552e+23,1.3708898718920634e+23,4.0409273997129676e+23,7.850210848349681e+23,,589835075584.0,1962930733056.0,1.4919226707257647e+23,0.8717944327859977,0.9684576963604363,278778698581.9004,-1.3234253823757172,0,0
prox2,mpi2,hopper-expert-v2,20.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau20_mpi2_seed0/params_1000000.pkl,1.819475379420247,1,1,1,1,2.1221867844567457e+22,1.1092246536823406e+22,5.500792376434399e+22,1.0182059945853381e+23,,578226749440.0,1904167092224.0,1.7298086352049918e+22,0.8011592984978793,0.9229740961615531,103225535373.0,-0.9573948681354523,0,0
prox2,mpi2,hopper-expert-v2,20.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-expert-v2_tau20_mpi2_seed1/params_1000000.pkl,1.819903610444258,1,1,1,1,7.5065953479910515e+22,6.978388196025572e+22,1.5840612390413862e+23,3.05411730507464e+23,,405812445184.0,1088081559552.0,6.389241028751827e+22,1.0122466139445692,1.1716000602068055,194767330218.0,-2.3311150819063187,0,0
prox2,mpi2,hopper-medium-replay-v2,4.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed0/params_1000000.pkl,98.62117710179572,0,0,0,0,12.501827992191465,4.949398994445801,29.165151405334473,109.38689743041961,,183.05064392089844,277.25726318359375,15.282293319702148,0.13361925592769275,0.17481704068455817,2.4362927237525582,2.6701557696796954,0,0
prox2,mpi2,hopper-medium-replay-v2,4.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau4_mpi2_seed1/params_1000000.pkl,99.1298822128758,0,0,0,0,11.670160140844473,5.222161531448364,25.601634979248047,108.64128204345702,,182.0383758544922,271.9430236816406,15.418596267700195,0.1421403386026364,0.17874565585894195,2.5926681612618268,2.8348834896460176,0,0
prox2,mpi2,hopper-medium-replay-v2,7.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed0/params_1000000.pkl,101.23930272180854,0,0,0,0,11.772482549356937,3.5084683895111084,23.85928897857666,79.54840438842749,,195.0816192626953,281.5316467285156,14.503454208374023,0.14844639547293517,0.20072728182390542,2.3817786928266287,3.0393744178581983,0,0
prox2,mpi2,hopper-medium-replay-v2,7.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau7_mpi2_seed1/params_1000000.pkl,99.64178300980952,0,0,0,0,11.075316866556022,4.569575786590576,26.692304611206065,84.84607109069823,,195.27554321289062,285.38916015625,13.582904815673828,0.14528449910208102,0.20093011190617333,2.3249760419130325,2.995139484293759,0,0
prox2,mpi2,hopper-medium-replay-v2,10.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau10_mpi2_seed0/params_1000000.pkl,99.19416291686012,0,0,0,0,10.73289342623957,2.813331127166748,19.997004890441907,105.8447077178953,,204.95384216308594,290.95458984375,9.163142204284668,0.15261091938371316,0.21991820515571942,2.3925257539376616,3.3118612645193934,0,0
prox2,mpi2,hopper-medium-replay-v2,10.0,1,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau10_mpi2_seed1/params_1000000.pkl,99.14608499889266,0,0,0,0,9.449542753435708,3.0333834886550903,22.715500640869152,90.8432437896728,,204.3621826171875,290.791259765625,11.557401657104492,0.1536646777395269,0.22489813911227324,2.4115996663458645,3.357404448091984,0,0
prox2,mpi2,hopper-medium-replay-v2,14.0,0,/home/ext_csv/td3_bc_jax/results_mpi2/hopper-medium-replay-v2_tau14_mpi2_seed0/params_1000000.pkl,101.71993324985573,0,0,0,0,12.628522418223383,3.287646532058716,18.02813110351563,86.74056747436515,,214.76870727539062,295.46429443359375,9.11524772644043,0.16871519973069976,0.252557467290516,2.438328891992569,3.4222046935465187,0,0
