environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
hopper-medium-v2,0,7.0,mpi1,mpi8,1.0610018589315042,0.9913411016047202,1.0702692112876402,0.30823628003212483,512
hopper-medium-v2,0,7.0,mpi4,mpi8,0.10581223598087725,0.3432828736768084,0.30025312153803074,0.30823628003212483,512
hopper-medium-v2,0,10.0,mpi1,mpi4,1.0721479736414714,0.999690656206356,1.0724797385924139,0.3110594825241096,512
hopper-medium-v2,0,10.0,mpi1,mpi8,1.069106652339391,0.9968548718156206,1.0724797385924139,0.32134958482538306,512
hopper-medium-v2,0,10.0,mpi4,mpi8,0.11835185900831698,0.36829628727427094,0.3110594825241096,0.32134958482538306,512
hopper-medium-v2,0,14.0,mpi1,mpi4,1.0799698621747018,1.0069839301506232,1.0724797385924139,0.32034125016019604,512
hopper-medium-v2,0,17.0,mpi1,mpi4,1.0830184516096018,1.0098264914832047,1.0724797385924139,0.3485699252644908,512
hopper-medium-v2,0,20.0,mpi1,mpi4,1.0754304769926848,1.0027513232130087,1.0724797385924139,0.351265983172867,512
hopper-medium-v2,1,0.05,mpi1,mpi2,0.9923802985470673,0.9673680615696045,1.0258559673108074,0.3017972760578141,512
hopper-medium-v2,1,0.05,mpi1,mpi4,0.999710461125549,0.9745134726332034,1.0258559673108074,0.2707028026310739,512
hopper-medium-v2,1,0.05,mpi1,mpi8,0.9693362047503581,0.9449047777061618,1.0258559673108074,0.28031145050298256,512
hopper-medium-v2,1,0.05,mpi2,mpi4,0.15353922364529482,0.5087495342929534,0.3017972760578141,0.2707028026310739,512
hopper-medium-v2,1,0.05,mpi2,mpi8,0.15975509413251512,0.5293457125236328,0.3017972760578141,0.28031145050298256,512
hopper-medium-v2,1,0.05,mpi4,mpi8,0.09114473808331143,0.32515524399650464,0.2707028026310739,0.28031145050298256,512
hopper-medium-v2,1,0.1,mpi1,mpi2,0.412286051470504,0.383701017623562,1.0744981966010472,1.0664968154056849,512
hopper-medium-v2,1,0.1,mpi1,mpi4,1.0521253447878052,0.9791783253950412,1.0744981966010472,0.2705425198806192,512
hopper-medium-v2,1,0.1,mpi1,mpi8,1.0442505980572778,0.971849558575853,1.0744981966010472,0.2798037657070837,512
hopper-medium-v2,1,0.1,mpi2,mpi4,1.0418305228442917,0.9768716678708409,1.0664968154056849,0.2705425198806192,512
hopper-medium-v2,1,0.1,mpi2,mpi8,1.0413443483436813,0.9764158066872091,1.0664968154056849,0.2798037657070837,512
hopper-medium-v2,1,0.1,mpi4,mpi8,0.08799718014186085,0.3144960537592688,0.2705425198806192,0.2798037657070837,512
hopper-medium-v2,1,0.2,mpi1,mpi4,1.1833955872447712,0.9716121959165037,1.217971112567701,0.2704983301591024,512
hopper-medium-v2,1,0.2,mpi1,mpi8,1.182022870537979,0.9704851439752649,1.217971112567701,0.2816107180956169,512
hopper-medium-v2,1,0.2,mpi4,mpi8,0.08345816736552857,0.29636005308999475,0.2704983301591024,0.2816107180956169,512
hopper-medium-v2,1,0.4,mpi1,mpi4,1.0444890472469313,0.9779063278346943,1.0680870115235537,0.2705314820918536,512
hopper-medium-v2,1,0.4,mpi1,mpi8,1.0477164855351815,0.9809280276151706,1.0680870115235537,0.28303761323133164,512
hopper-medium-v2,1,0.4,mpi4,mpi8,0.08967708461118502,0.3168380470262458,0.2705314820918536,0.28303761323133164,512
hopper-medium-v2,1,1.5,mpi1,mpi4,0.9979649127851675,0.972811919592617,1.0258559673108074,0.2736743060256459,512
hopper-medium-v2,1,1.5,mpi1,mpi8,0.9726861755066261,0.9481703148410187,1.0258559673108074,0.2897224606307941,512
hopper-medium-v2,1,1.5,mpi4,mpi8,0.09209992862815654,0.3178901919707339,0.2736743060256459,0.2897224606307941,512
hopper-medium-v2,1,2.5,mpi1,mpi4,1.2262341670555836,0.9780550510184668,1.2537475940425677,0.2796916530728474,512
hopper-medium-v2,1,2.5,mpi1,mpi8,1.2517364079106672,0.9983958604256095,1.2537475940425677,0.29651686999424615,512
hopper-medium-v2,1,2.5,mpi4,mpi8,0.09953402659752165,0.3356774493115791,0.2796916530728474,0.29651686999424615,512
hopper-medium-v2,1,4.0,mpi1,mpi4,1.2214622214919022,0.9742489056776054,1.2537475940425677,0.28492297002656486,512
hopper-medium-v2,1,4.0,mpi1,mpi8,1.2541119547962492,1.0002906173103843,1.2537475940425677,0.3017307000027131,512
hopper-medium-v2,1,4.0,mpi4,mpi8,0.10675485302467919,0.3538083894801532,0.28492297002656486,0.3017307000027131,512
hopper-medium-v2,1,7.0,mpi1,mpi4,1.224108467692174,0.9763595746933196,1.2537475940425677,0.2977783065203533,512
hopper-medium-v2,1,7.0,mpi1,mpi8,1.262962168021001,1.0073496244556865,1.2537475940425677,0.31765581358313066,512
hopper-medium-v2,1,7.0,mpi4,mpi8,0.12058535268122841,0.3796100921970728,0.2977783065203533,0.31765581358313066,512
hopper-medium-v2,1,10.0,mpi1,mpi4,1.233954987124185,0.9842132443464449,1.2537475940425677,0.3067164331676566,512
hopper-medium-v2,1,10.0,mpi1,mpi8,1.2577599529296832,1.003200292392329,1.2537475940425677,0.3310687753996203,512
hopper-medium-v2,1,10.0,mpi4,mpi8,0.13169434345332792,0.3977854549839826,0.3067164331676566,0.3310687753996203,512
