environment,seed,method,integrator,s,t,total,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,pi_u_vs_Phi_u_aD_rms,pi_u_vs_Phi_t_Phi_s_aD_rms,solver_converged_sample_fraction,all_numeric_outputs_finite
halfcheetah-medium-v2,3,mpi4,implicit,0.1,0.1,0.2,0.0009590801987387729,0.0032616558748483782,0.29263641176822125,0.2926392451770846,0.453125,True
halfcheetah-medium-v2,3,mpi4,explicit,0.2,0.2,0.4,0.012941454251713919,0.049278715407810515,0.26405685162502845,0.263115811939889,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,0.2,0.2,0.4,0.0027210694591745686,0.008407250895898501,0.3248190245738889,0.32495103118396607,0.326171875,True
halfcheetah-medium-v2,3,mpi4,explicit,1.5,2.5,4.0,0.10636715865619073,0.3614395379872739,0.30365104650307806,0.28891370115882936,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,1.5,2.5,4.0,0.0042781537081222915,0.00832368095859711,0.5128637663217127,0.5129172939951363,0.037109375,True
halfcheetah-medium-v2,3,mpi4,explicit,4.0,10.0,14.0,0.2923979289565479,0.6344379994843835,0.43462368378877847,0.38180622041883683,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,4.0,10.0,14.0,0.014169510377404434,0.025253109482506208,0.6476746293778111,0.6457093845136835,0.005859375,True
halfcheetah-medium-v2,3,mpi4,explicit,7.0,7.0,14.0,0.27677584832912633,0.600541584361286,0.43462368378877847,0.3701794308114069,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,7.0,7.0,14.0,0.0205761294775892,0.04123567555846413,0.5774439467205295,0.5738776538945775,0.005859375,True
halfcheetah-medium-v2,3,mpi4,explicit,7.0,10.0,17.0,0.3415628954352125,0.6623901419566939,0.4663218330031167,0.375278596372006,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,7.0,10.0,17.0,0.0371504617265034,0.06338552275907748,0.650418980468562,0.6349367144249572,0.00390625,True
halfcheetah-medium-v2,3,mpi4,explicit,10.0,10.0,20.0,0.3750623902524287,0.6785051702130082,0.4958413676428496,0.4135537912809544,1.0,True
halfcheetah-medium-v2,3,mpi4,implicit,10.0,10.0,20.0,0.021594356098820607,0.03678413031933602,0.6183749590177829,0.6254165222004459,0.001953125,True
halfcheetah-medium-replay-v2,0,mpi1,explicit,0.05,0.05,0.1,0.0003387882628244285,0.000514908610553497,0.6558717515274111,0.6558883939967936,1.0,True
halfcheetah-medium-replay-v2,0,mpi1,implicit,0.05,0.05,0.1,0.00012606889238688348,0.0001944739604556644,0.6465241274125366,0.6465270138331534,0.84375,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,0.05,0.05,0.1,0.025491744498438162,0.05456142038491675,0.46397443418741113,0.4632451137906408,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,0.05,0.05,0.1,0.0032777872021446425,0.005879923088949283,0.5543225875582954,0.5542210932635784,0.322265625,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,0.1,0.1,0.2,0.04748962145447938,0.1023820927457927,0.4636045082936231,0.4607470240410785,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,0.1,0.1,0.2,0.0008047061277683419,0.0014107182718065012,0.5669987325104049,0.5669957182447544,0.240234375,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,0.2,0.2,0.4,0.08609486234184094,0.1845624568484503,0.4710925422061254,0.4638628371791574,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,0.2,0.2,0.4,0.0012238465328195827,0.002168826611646587,0.558554768137963,0.5585348103684395,0.240234375,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,1.5,2.5,4.0,0.37934738350280806,0.7328422282857626,0.5792928690388915,0.5205822311144093,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,1.5,2.5,4.0,0.0022695214505656165,0.004250821837127161,0.5206368702677427,0.5209366474271323,0.07421875,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,4.0,10.0,14.0,0.6604480760485776,0.9458688508443545,0.6869642295716277,0.6255208543617236,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,4.0,10.0,14.0,0.006704029401392983,0.014644992557649191,0.4254184588544694,0.4230505841483851,0.01171875,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,7.0,7.0,14.0,0.620029967631858,0.8879835588011793,0.6869642295716277,0.6064819293500693,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,7.0,7.0,14.0,0.014179266147688987,0.025452904820590143,0.5344337228857122,0.5338312880131519,0.029296875,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,7.0,10.0,17.0,0.6783940116433779,0.9434239982012727,0.6824812290095118,0.6198087989791413,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,7.0,10.0,17.0,0.01571846923015546,0.02843283210926887,0.5351853132663662,0.5331921472080966,0.01953125,True
halfcheetah-medium-replay-v2,0,mpi4,explicit,10.0,10.0,20.0,0.6902447107083642,0.9247947073219787,0.7438217775325467,0.673640263688253,1.0,True
halfcheetah-medium-replay-v2,0,mpi4,implicit,10.0,10.0,20.0,0.009674825453193764,0.016101754246017567,0.564354311177339,0.5636062041056693,0.01953125,True
halfcheetah-medium-replay-v2,1,mpi1,explicit,0.05,0.05,0.1,0.00036405533572451596,0.0005322976160538831,0.6820503689980487,0.682052373529503,1.0,True
halfcheetah-medium-replay-v2,1,mpi1,implicit,0.05,0.05,0.1,0.00019162817334149483,0.00028540624558061437,0.6698544633668164,0.669851177261478,0.84765625,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,0.05,0.05,0.1,0.024245776604032473,0.05258646559731924,0.457460338334026,0.4575177932526067,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,0.05,0.05,0.1,0.0027841468931593173,0.005068458862420312,0.5462325191286591,0.5462245621625003,0.328125,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,0.1,0.1,0.2,0.05208790933274122,0.11267691952469391,0.4634537704283033,0.459992627850842,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,0.1,0.1,0.2,0.0015224855512849039,0.0026864579973604895,0.5622244545615954,0.5621785978155548,0.271484375,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,0.2,0.2,0.4,0.10316336168273064,0.21831319033624114,0.486620325792901,0.4780939505970408,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,0.2,0.2,0.4,0.0011720367945609114,0.0020746359038423105,0.5610871828346384,0.5610465409933767,0.248046875,True
halfcheetah-medium-replay-v2,1,mpi4,explicit,1.5,2.5,4.0,0.3672193916273364,0.719374187085364,0.5631416735205653,0.5117376511844303,1.0,True
halfcheetah-medium-replay-v2,1,mpi4,implicit,1.5,2.5,4.0,0.003894791007498575,0.006791705922526402,0.5470521664766878,0.5472549676705889,0.115234375,True
