environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-medium-v2,1,mpi4,explicit,0.05,0.05,0.1,0.056248355252240735,0.056248355252240735,0.22201434066650955,0.0,0.0,0.053834663735565544,0.25335460350614053,0.25278559998178796,0.2524051879325751,0.9962526215808728,0.2525226325822839,0.9967161799614331,0.004275897021948834,0.01687712385240002,1.0,True,1,0.0,0.01953125,True,512
halfcheetah-medium-v2,1,mpi4,implicit,0.05,0.05,0.1,0.05522435897705806,0.05522435897705806,0.21587434259503113,0.0,0.0,0.05355693994546543,0.2558171495195056,0.2677800654064488,0.2680450526843008,0.996175415602569,0.26805615492023693,0.9962166764816154,0.0006920991123836622,0.002572150144210979,0.576171875,False,200,0.048825979232788086,0.017578125,True,512
halfcheetah-medium-v2,1,mpi4,explicit,0.1,0.1,0.2,0.07240477251280729,0.07240477251280729,0.2798623025776077,0.0,0.0,0.07053844233553372,0.25871570356543094,0.2524051879325751,0.25641006561914753,0.9910881407100196,0.2564097629462923,0.9910869708047875,0.008332818796126814,0.0322083997271522,1.0,True,1,0.0,0.0390625,True,512
halfcheetah-medium-v2,1,mpi4,implicit,0.1,0.1,0.2,0.07349434060547387,0.07349434060547387,0.27574219614181134,0.0,0.0,0.07356309358578304,0.2665328035890325,0.27668354483685476,0.28702152298760714,0.9940062478669911,0.2870234582422513,0.9940129499957635,0.001182087717976211,0.004093778630134024,0.427734375,False,200,0.03563433885574341,0.0390625,True,512
halfcheetah-medium-v2,1,mpi4,explicit,0.2,0.2,0.4,0.06664928122489916,0.06664928122489916,0.25637515883303313,0.0,0.0,0.056910544300166295,0.25996778131029913,0.25641006561914753,0.2610297435898223,1.0040849765081297,0.26031667628065847,1.0013420700388365,0.015284494570619575,0.05879380319200366,1.0,True,1,0.0,0.119140625,True,512
halfcheetah-medium-v2,1,mpi4,implicit,0.2,0.2,0.4,0.060935677911557115,0.060935677911557115,0.22664449963203404,0.0,0.0,0.05657884540405538,0.2688601665184397,0.3169375049378897,0.32071516864879246,1.007568810406463,0.32061903805300435,1.0072668035183885,0.0017001732448451757,0.005341317471857594,0.2734375,False,200,0.15930336713790894,0.111328125,True,512
halfcheetah-medium-v2,1,mpi4,explicit,1.5,2.5,4.0,0.1739888538115461,0.13678899740114464,0.5308249422090592,0.18368705057067072,0.6274943186797293,0.11490665899173148,0.2927310177997387,0.2666587170329369,0.29866638877906476,1.0202758526374767,0.2831918460409483,0.967413184190422,0.10855247342748954,0.37082668670851876,1.0,True,1,0.0,0.626953125,True,512
halfcheetah-medium-v2,1,mpi4,implicit,1.5,2.5,4.0,0.09401113963050879,0.09218924992573221,0.2104154981332786,0.12141447470520426,0.2744085255307095,0.08399975381687845,0.44245882838511363,0.5726316581062821,0.5559710376839678,0.9895099143642004,0.5577333333280751,0.9926464248902689,0.008128170685953156,0.014466410899567331,0.02734375,False,200,0.5933294296264648,0.6171875,True,512
halfcheetah-medium-v2,1,mpi4,explicit,4.0,10.0,14.0,0.41015238104204377,0.26269109679369784,0.8822339480578009,0.4015344052936966,1.0529857101469295,0.23526810861871408,0.38132939642425734,0.29866638877906476,0.4397936767603656,0.9163784377199032,0.3828952532980589,0.7978217345285467,0.30554967161324825,0.6366602011682483,1.0,True,1,0.0,0.830078125,True,512
halfcheetah-medium-v2,1,mpi4,implicit,4.0,10.0,14.0,0.28263369924551535,0.30685644454707706,0.5741479941475024,0.34645788847927106,0.6748818578956272,0.18108506318448697,0.5133607970431648,0.3705487207509706,0.4120271802665696,1.004028897980464,0.41191733618973136,1.0037612296500733,0.0006021755854209432,0.0014673830232019417,0.005859375,False,200,1.7904874086380005,0.8203125,True,512
