environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,1,4.0,mpi4,2,4,,nan,nan,0.08559618953318672,0.2600062397969733,False,512
halfcheetah-medium-v2,1,4.0,mpi4,3,4,,nan,nan,0.07121391124003308,0.2722047182418032,False,512
halfcheetah-medium-v2,1,4.0,mpi4,4,4,,nan,nan,0.08556613731317068,0.2927310177997387,True,512
halfcheetah-medium-v2,1,7.0,mpi4,1,4,,nan,nan,0.2601362380366283,0.2601362380366283,False,512
halfcheetah-medium-v2,1,7.0,mpi4,2,4,,nan,nan,0.10073369575365834,0.2847210636481441,False,512
halfcheetah-medium-v2,1,7.0,mpi4,3,4,,nan,nan,0.085660959252955,0.30280498952763296,False,512
halfcheetah-medium-v2,1,7.0,mpi4,4,4,,nan,nan,0.08986085739231903,0.32419498974703576,True,512
halfcheetah-medium-v2,1,10.0,mpi4,1,4,,nan,nan,0.2676442900425817,0.2676442900425817,False,512
halfcheetah-medium-v2,1,10.0,mpi4,2,4,,nan,nan,0.1104730235901026,0.2970596989454627,False,512
halfcheetah-medium-v2,1,10.0,mpi4,3,4,,nan,nan,0.08782760801181748,0.32000689071035027,False,512
halfcheetah-medium-v2,1,10.0,mpi4,4,4,,nan,nan,0.09609986084760497,0.3441559798053827,True,512
halfcheetah-medium-v2,1,14.0,mpi4,1,4,,nan,nan,0.27632385717080793,0.27632385717080793,False,512
halfcheetah-medium-v2,1,14.0,mpi4,2,4,,nan,nan,0.1228203902783451,0.31293064172572477,False,512
halfcheetah-medium-v2,1,14.0,mpi4,3,4,,nan,nan,0.10583909800566704,0.34556661589347343,False,512
halfcheetah-medium-v2,1,14.0,mpi4,4,4,,nan,nan,0.11030073042231224,0.38132939642425734,True,512
halfcheetah-medium-v2,1,17.0,mpi4,1,4,,nan,nan,0.28175406048714124,0.28175406048714124,False,512
halfcheetah-medium-v2,1,17.0,mpi4,2,4,,nan,nan,0.12383176833516733,0.32089434021692226,False,512
halfcheetah-medium-v2,1,17.0,mpi4,3,4,,nan,nan,0.11873190501589936,0.3537104213150025,False,512
halfcheetah-medium-v2,1,17.0,mpi4,4,4,,nan,nan,0.11440306578698582,0.3878209279685089,True,512
halfcheetah-medium-v2,1,20.0,mpi4,1,4,,nan,nan,0.2809870369786402,0.2809870369786402,False,512
halfcheetah-medium-v2,1,20.0,mpi4,2,4,,nan,nan,0.13278981947447205,0.3285923896393588,False,512
halfcheetah-medium-v2,1,20.0,mpi4,3,4,,nan,nan,0.12190428048031436,0.3677006072137683,False,512
halfcheetah-medium-v2,1,20.0,mpi4,4,4,,nan,nan,0.11410938198747599,0.3999733574197782,True,512
halfcheetah-medium-v2,2,0.05,mpi4,1,4,,nan,nan,0.255871246375355,0.255871246375355,False,512
halfcheetah-medium-v2,2,0.05,mpi4,2,4,,nan,nan,0.07253782871847247,0.25570373394992946,False,512
halfcheetah-medium-v2,2,0.05,mpi4,3,4,,nan,nan,0.06282638060012245,0.2598699853567281,False,512
halfcheetah-medium-v2,2,0.05,mpi4,4,4,,nan,nan,0.0638200872918667,0.2636683185484277,True,512
halfcheetah-medium-v2,2,0.1,mpi4,1,4,,nan,nan,0.2511662790330661,0.2511662790330661,False,512
halfcheetah-medium-v2,2,0.1,mpi4,2,4,,nan,nan,0.06975346196070445,0.25412338440157684,False,512
halfcheetah-medium-v2,2,0.1,mpi4,3,4,,nan,nan,0.06191292248199383,0.2597685745172141,False,512
halfcheetah-medium-v2,2,0.1,mpi4,4,4,,nan,nan,0.06263626736451054,0.26309486701152696,True,512
halfcheetah-medium-v2,2,0.2,mpi4,1,4,,nan,nan,0.2508934962231562,0.2508934962231562,False,512
halfcheetah-medium-v2,2,0.2,mpi4,2,4,,nan,nan,0.07337175825243383,0.2534895184446499,False,512
halfcheetah-medium-v2,2,0.2,mpi4,3,4,,nan,nan,0.07124937799359703,0.25936158321011804,False,512
halfcheetah-medium-v2,2,0.2,mpi4,4,4,,nan,nan,0.06450675158210369,0.2617173974981424,True,512
halfcheetah-medium-v2,2,0.4,mpi4,1,4,,nan,nan,0.24850064312454553,0.24850064312454553,False,512
halfcheetah-medium-v2,2,0.4,mpi4,2,4,,nan,nan,0.0693488212851602,0.25125923489582797,False,512
halfcheetah-medium-v2,2,0.4,mpi4,3,4,,nan,nan,0.06135423848619819,0.2570597735413769,False,512
halfcheetah-medium-v2,2,0.4,mpi4,4,4,,nan,nan,0.06232384920725239,0.258879656805974,True,512
halfcheetah-medium-v2,2,1.5,mpi4,1,4,,nan,nan,0.24540965413538168,0.24540965413538168,False,512
halfcheetah-medium-v2,2,1.5,mpi4,2,4,,nan,nan,0.08096600316699334,0.25397398121962483,False,512
halfcheetah-medium-v2,2,1.5,mpi4,3,4,,nan,nan,0.06860379116791107,0.2632170498814174,False,512
halfcheetah-medium-v2,2,1.5,mpi4,4,4,,nan,nan,0.06820562845618541,0.26832085840617026,True,512
halfcheetah-medium-v2,2,2.5,mpi4,1,4,,nan,nan,0.2538091068803905,0.2538091068803905,False,512
halfcheetah-medium-v2,2,2.5,mpi4,2,4,,nan,nan,0.08005985218377558,0.25982603429808826,False,512
halfcheetah-medium-v2,2,2.5,mpi4,3,4,,nan,nan,0.07780039561589462,0.273308872694292,False,512
halfcheetah-medium-v2,2,2.5,mpi4,4,4,,nan,nan,0.06851278199359506,0.2803639250020257,True,512
halfcheetah-medium-v2,2,4.0,mpi4,1,4,,nan,nan,0.2572817437075037,0.2572817437075037,False,512
halfcheetah-medium-v2,2,4.0,mpi4,2,4,,nan,nan,0.09089392674732164,0.2688644338456725,False,512
halfcheetah-medium-v2,2,4.0,mpi4,3,4,,nan,nan,0.07684059083663462,0.2832858015328938,False,512
halfcheetah-medium-v2,2,4.0,mpi4,4,4,,nan,nan,0.07717463120396272,0.29525591721840416,True,512
halfcheetah-medium-v2,2,7.0,mpi4,1,4,,nan,nan,0.2585007834659279,0.2585007834659279,False,512
halfcheetah-medium-v2,2,7.0,mpi4,2,4,,nan,nan,0.09543478310154574,0.27649435853402066,False,512
halfcheetah-medium-v2,2,7.0,mpi4,3,4,,nan,nan,0.08478102268094975,0.296981420582714,False,512
halfcheetah-medium-v2,2,7.0,mpi4,4,4,,nan,nan,0.08577414137147875,0.3129656350920686,True,512
halfcheetah-medium-v2,2,10.0,mpi4,1,4,,nan,nan,0.2686961577178065,0.2686961577178065,False,512
halfcheetah-medium-v2,2,10.0,mpi4,2,4,,nan,nan,0.10929588819767452,0.2967641658681166,False,512
halfcheetah-medium-v2,2,10.0,mpi4,3,4,,nan,nan,0.09592569189659253,0.32331212379320023,False,512
halfcheetah-medium-v2,2,10.0,mpi4,4,4,,nan,nan,0.0905343162750758,0.34202628358092474,True,512
halfcheetah-medium-v2,2,14.0,mpi4,1,4,,nan,nan,0.2757202917483128,0.2757202917483128,False,512
halfcheetah-medium-v2,2,14.0,mpi4,2,4,,nan,nan,0.11387088549873393,0.31085775362406076,False,512
halfcheetah-medium-v2,2,14.0,mpi4,3,4,,nan,nan,0.10875509142778618,0.3458927901226465,False,512
halfcheetah-medium-v2,2,14.0,mpi4,4,4,,nan,nan,0.10523186584547843,0.3688543762010346,True,512
halfcheetah-medium-v2,2,17.0,mpi4,1,4,,nan,nan,0.2751514588245758,0.2751514588245758,False,512
halfcheetah-medium-v2,2,17.0,mpi4,2,4,,nan,nan,0.12095314926606328,0.3139393919236481,False,512
halfcheetah-medium-v2,2,17.0,mpi4,3,4,,nan,nan,0.13780148193403233,0.3584763969957981,False,512
halfcheetah-medium-v2,2,17.0,mpi4,4,4,,nan,nan,0.11426238461728337,0.3892438921711766,True,512
halfcheetah-medium-v2,2,20.0,mpi4,1,4,,nan,nan,0.28542729777572967,0.28542729777572967,False,512
halfcheetah-medium-v2,2,20.0,mpi4,2,4,,nan,nan,0.13373056708718653,0.3322885595139753,False,512
halfcheetah-medium-v2,2,20.0,mpi4,3,4,,nan,nan,0.1227197165603567,0.3774177806091178,False,512
halfcheetah-medium-v2,2,20.0,mpi4,4,4,,nan,nan,0.1251849356680114,0.41507166614279273,True,512
halfcheetah-medium-v2,3,0.05,mpi4,1,4,,nan,nan,0.2482219132374329,0.2482219132374329,False,512
halfcheetah-medium-v2,3,0.05,mpi4,2,4,,nan,nan,0.07530676452099608,0.25319704100493834,False,512
halfcheetah-medium-v2,3,0.05,mpi4,3,4,,nan,nan,0.0691916059907958,0.260522536618715,False,512
halfcheetah-medium-v2,3,0.05,mpi4,4,4,,nan,nan,0.064101336387357,0.2618215711729,True,512
halfcheetah-medium-v2,3,0.1,mpi4,1,4,,nan,nan,0.24533480069608707,0.24533480069608707,False,512
halfcheetah-medium-v2,3,0.1,mpi4,2,4,,nan,nan,0.07004945149083794,0.24993457186889903,False,512
halfcheetah-medium-v2,3,0.1,mpi4,3,4,,nan,nan,0.06158117484536241,0.25432626693602517,False,512
halfcheetah-medium-v2,3,0.1,mpi4,4,4,,nan,nan,0.060250825745457766,0.2564493985884004,True,512
halfcheetah-medium-v2,3,0.2,mpi4,1,4,,nan,nan,0.24902358141376862,0.24902358141376862,False,512
halfcheetah-medium-v2,3,0.2,mpi4,2,4,,nan,nan,0.07784446640114065,0.2572043530710521,False,512
halfcheetah-medium-v2,3,0.2,mpi4,3,4,,nan,nan,0.061618502095068,0.25934620983880496,False,512
halfcheetah-medium-v2,3,0.2,mpi4,4,4,,nan,nan,0.06405069633888714,0.2615961542999087,True,512
halfcheetah-medium-v2,3,0.4,mpi4,1,4,,nan,nan,0.2556266714527517,0.2556266714527517,False,512
halfcheetah-medium-v2,3,0.4,mpi4,2,4,,nan,nan,0.07320098613105669,0.26091181765580373,False,512
halfcheetah-medium-v2,3,0.4,mpi4,3,4,,nan,nan,0.060374682708884485,0.2627180143753338,False,512
