pair_key,environment,T,seed,mart_mu1,mart_mu4,two_target,two_deploy,mart4_minus_two_deploy,mart1_minus_two_target
walker2d-medium-replay-v2|T=20|seed=1,walker2d-medium-replay-v2,20,1,90.6869268388626,90.09350226011273,91.88302891079027,67.08699442084816,23.00650783926457,-1.196102071927669
walker2d-medium-replay-v2|T=4|seed=0,walker2d-medium-replay-v2,4,0,75.54891401009384,88.33351246393218,31.584533265984454,2.061702025040475,86.2718104388917,43.964380744109384
walker2d-medium-replay-v2|T=4|seed=1,walker2d-medium-replay-v2,4,1,83.30178844696987,88.97295514221116,65.32787998376514,89.28908865728863,-0.31613351507746756,17.973908463204722
walker2d-medium-replay-v2|T=7|seed=0,walker2d-medium-replay-v2,7,0,89.66569764609866,88.83188573547724,85.44151745957916,90.0163207824443,-1.184435046967053,4.224180186519504
walker2d-medium-replay-v2|T=7|seed=1,walker2d-medium-replay-v2,7,1,77.8848102715212,85.65286612579874,89.00469901375823,92.43065893028698,-6.777792804488243,-11.119888742237023
walker2d-medium-v2|T=10|seed=0,walker2d-medium-v2,10,0,88.44232008614028,92.2323816876968,85.68469753677878,91.15413313505492,1.078248552641881,2.7576225493615
walker2d-medium-v2|T=10|seed=1,walker2d-medium-v2,10,1,85.58870254542911,93.01274694052923,86.78177069763038,90.51471109528117,2.4980358452480544,-1.1930681522012634
walker2d-medium-v2|T=14|seed=0,walker2d-medium-v2,14,0,88.33908419454475,11.197448142460171,87.55319843990898,92.22882363564466,-81.03137549318448,0.7858857546357711
walker2d-medium-v2|T=14|seed=1,walker2d-medium-v2,14,1,82.36630801137717,93.7081192201774,86.00806626888905,95.19849632519897,-1.4903771050215795,-3.6417582575118814
walker2d-medium-v2|T=20|seed=0,walker2d-medium-v2,20,0,75.64990690465646,3.65336589948821,90.24304611300228,73.24269067973731,-69.5893247802491,-14.593139208345818
walker2d-medium-v2|T=20|seed=1,walker2d-medium-v2,20,1,5.941751213185197,0.15447908742652106,1.8275824611373814,1.8275824611373814,-1.6731033737108603,4.114168752047815
walker2d-medium-v2|T=4|seed=0,walker2d-medium-v2,4,0,78.99106714868184,88.75610606102889,83.4031122330783,87.67408261174543,1.0820234492834544,-4.412045084396468
walker2d-medium-v2|T=4|seed=1,walker2d-medium-v2,4,1,83.31166196814436,89.76038723078484,83.21112028567988,88.11727230712702,1.6431149236578193,0.10054168246448114
walker2d-medium-v2|T=7|seed=0,walker2d-medium-v2,7,0,85.88835060986595,89.22757284790457,86.19658805537145,91.79901579296605,-2.5714429450614773,-0.3082374455054975
walker2d-medium-v2|T=7|seed=1,walker2d-medium-v2,7,1,84.03123578424974,89.1145622243939,84.60755733781761,89.6298055247976,-0.5152433004037107,-0.5763215535678654
