method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.07,0.07,3,walker2d-expert-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,0,hopper-medium-v2,54.3967,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,hopper-medium-replay-v2,22.0736,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,hopper-expert-v2,101.5477,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,halfcheetah-medium-v2,43.6376,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,halfcheetah-medium-replay-v2,40.4944,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,halfcheetah-expert-v2,93.2173,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,walker2d-medium-v2,79.9575,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,walker2d-medium-replay-v2,34.5424,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,0,walker2d-expert-v2,105.6745,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.1,0.1,1,hopper-medium-v2,45.5146,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,hopper-medium-replay-v2,25.0699,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,hopper-expert-v2,98.9768,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,halfcheetah-medium-v2,43.9281,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,halfcheetah-medium-replay-v2,39.087,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,halfcheetah-expert-v2,93.3513,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,walker2d-medium-v2,73.3477,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,walker2d-medium-replay-v2,29.0324,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,1,walker2d-expert-v2,106.6753,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.1,0.1,2,hopper-medium-v2,47.364,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,hopper-medium-replay-v2,21.0465,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,hopper-expert-v2,104.7591,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,halfcheetah-medium-v2,43.5372,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,halfcheetah-medium-replay-v2,40.3657,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,halfcheetah-expert-v2,93.6308,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,walker2d-medium-v2,69.7032,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,walker2d-medium-replay-v2,26.1498,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,2,walker2d-expert-v2,107.1673,available,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.1,0.1,3,hopper-medium-v2,41.8714,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,hopper-medium-replay-v2,20.8383,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,hopper-expert-v2,100.1534,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,halfcheetah-medium-v2,43.5388,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,halfcheetah-medium-replay-v2,40.913,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,halfcheetah-expert-v2,93.6517,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,walker2d-medium-v2,75.2733,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,walker2d-medium-replay-v2,45.4165,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.1,0.1,3,walker2d-expert-v2,106.4531,available,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,0,hopper-medium-v2,49.5692,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,hopper-medium-replay-v2,26.8316,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,hopper-expert-v2,106.3746,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,halfcheetah-medium-v2,44.0566,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,halfcheetah-medium-replay-v2,40.4367,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,halfcheetah-expert-v2,94.207,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,walker2d-medium-v2,78.4232,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,walker2d-medium-replay-v2,11.4518,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,0,walker2d-expert-v2,106.6488,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.15,0.15,1,hopper-medium-v2,49.0909,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,hopper-medium-replay-v2,25.2819,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,hopper-expert-v2,101.2913,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,halfcheetah-medium-v2,44.7779,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,halfcheetah-medium-replay-v2,40.7319,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,halfcheetah-expert-v2,93.121,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,walker2d-medium-v2,80.6366,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,walker2d-medium-replay-v2,17.2252,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,1,walker2d-expert-v2,106.8815,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.15,0.15,2,hopper-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,hopper-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,hopper-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,halfcheetah-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,halfcheetah-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,walker2d-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,walker2d-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,2,walker2d-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.15,0.15,3,hopper-medium-v2,,missing,K=1/Imp/seed3.csv
TD3+BC,1,Imp,0.15,0.15,3,hopper-medium-replay-v2,,missing,K=1/Imp/seed3.csv
