method,T,seeds,available_runs,expected_runs,status,mean_score,std_seed_task_means,score_below_20_runs,score_below_20_task_means
I-MART-2,1.5,"2,3",18,18,complete,77.57593888888889,3.5759097031384934,0,0
I-MART-2,1.5,"0,1,2,3",36,36,complete,78.04966944444445,2.2807992359616804,0,0
I-MART-2,2.5,"0,1",18,18,complete,81.56936666666667,1.1059778597118664,0,0
I-MART-2,2.5,"2,3",18,18,complete,79.75062777777778,1.279808276753552,0,0
I-MART-2,2.5,"0,1,2,3",36,36,complete,80.65999722222222,1.4339813338367293,0,0
I-MART-2,4,"0,1",18,18,complete,72.12555,13.090848545172861,2,0
I-MART-2,4,"2,3",18,18,complete,76.83160555555557,9.783600135175192,1,0
I-MART-2,4,"0,1,2,3",36,36,complete,74.47857777777779,9.818963049963232,3,0
I-MART-2,7,"0,1",18,18,complete,64.5720388888889,7.1644609041761935,3,1
I-MART-2,7,"2,3",18,18,complete,53.18040555555555,10.13855202584681,5,2
I-MART-2,7,"0,1,2,3",36,36,complete,58.876222222222225,9.727778904240898,8,1
I-MART-2,10,"0,1",18,18,complete,44.66516111111111,6.134002048695046,6,3
I-MART-2,10,"2,3",18,18,complete,37.605783333333335,15.567482189536724,9,4
I-MART-2,10,"0,1,2,3",36,36,complete,41.13547222222222,10.485025790213408,15,2
I-MART-2,12,"0,1",18,18,complete,30.43486111111111,7.696472332856921,10,5
I-MART-2,12,"2,3",18,18,complete,33.906016666666666,0.9953470754242262,10,5
I-MART-2,12,"0,1,2,3",36,36,complete,32.17043888888889,4.908337229036999,20,5
I-MART-2,14,"0,1",18,18,complete,30.73168888888889,6.87853049209039,10,5
I-MART-2,14,"2,3",18,18,complete,28.36763888888889,3.669137803866927,11,5
I-MART-2,14,"0,1,2,3",36,36,complete,29.549663888888887,4.703384822192158,21,4
I-MART-2,17,"0,1",18,18,complete,24.009855555555554,2.2808436333953304,12,6
I-MART-2,17,"2,3",18,18,complete,27.894694444444443,7.682188775876953,11,5
I-MART-2,17,"0,1,2,3",36,36,complete,25.952275,5.141667863668147,23,5
I-MART-2,20,"0,1",18,18,complete,27.609933333333334,10.746404585180807,10,5
I-MART-2,20,"2,3",18,18,complete,24.891188888888887,0.1266035408004439,11,5
I-MART-2,20,"0,1,2,3",36,36,complete,26.25056111111111,6.400333619407034,21,5
I-MART-2,24,"0,1",0,18,missing,,,,
