h,beta,q_scale,converged,iterations,fixed_point_residual_max,explicit_implicit_rms,explicit_move_rms,implicit_move_rms,relative_difference,projection_fraction_explicit,projection_fraction_implicit,projection_fraction_union,environment,seed,checkpoint,n_states,local_loglog_slope_when_identifiable,local_points_eligible,local_max_relative_difference,local_exact_agreement_fraction
0.01,0.00018028717948482146,166.40118329947984,False,200,0.0005750395357608795,3.199342609150335e-05,0.0010821684263646603,0.0010831101099029183,0.029538479789807334,0.0,0.0,0.0,hopper-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010864509293605443,0.5
0.03,0.0005408615384544644,166.40118329947984,False,200,0.005828142166137695,0.00025472347624599934,0.003246505744755268,0.0032496436033397913,0.07838504997416013,0.0,0.0,0.0,hopper-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010864509293605443,0.5
0.1,0.001802871794848215,166.40118329947984,False,200,0.01170426607131958,0.001363503048196435,0.010821688920259476,0.010959590785205364,0.12441185760667844,0.0,0.0,0.0,hopper-medium-replay-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-medium-replay-v2_tau1_seed1/params_1000000.pkl,512,,2,0.010864509293605443,0.5
0.001,8.64756888768261e-06,346.9183118359575,True,2,0.0,0.0,7.637901944690384e-06,7.637901944690384e-06,0.0,0.0,0.0,0.0,hopper-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed0/params_1000000.pkl,512,,3,0.0,1.0
0.003,2.594270666304783e-05,346.9183118359575,True,2,0.0,0.0,2.291271994181443e-05,2.291271994181443e-05,0.0,0.0,0.0,0.0,hopper-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed0/params_1000000.pkl,512,,3,0.0,1.0
0.01,8.64756888768261e-05,346.9183118359575,True,2,0.0,0.0,7.637539965799078e-05,7.637539965799078e-05,0.0,0.0,0.0,0.0,hopper-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed0/params_1000000.pkl,512,,3,0.0,1.0
0.03,0.00025942706663047827,346.9183118359575,True,2,0.0,0.0,0.00022912608983460814,0.00022912608983460814,0.0,0.0,0.0,0.0,hopper-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed0/params_1000000.pkl,512,,3,0.0,1.0
0.1,0.0008647568887682611,346.9183118359575,False,200,0.00019848346710205078,7.520637609559344e-06,0.0007637517992407084,0.0007655546651221812,0.009823776083134525,0.0,0.0,0.0,hopper-expert-v2,0,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed0/params_1000000.pkl,512,,3,0.0,1.0
0.001,8.658663465718765e-06,346.4737960861454,True,2,0.0,0.0,6.348273018375039e-06,6.348273018375039e-06,0.0,0.0,0.0,0.0,hopper-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed1/params_1000000.pkl,512,,3,0.0,1.0
0.003,2.5975990397156296e-05,346.4737960861454,True,2,0.0,0.0,1.904476994241122e-05,1.904476994241122e-05,0.0,0.0,0.0,0.0,hopper-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed1/params_1000000.pkl,512,,3,0.0,1.0
0.01,8.658663465718763e-05,346.4737960861454,True,2,0.0,0.0,6.348285387502983e-05,6.348285387502983e-05,0.0,0.0,0.0,0.0,hopper-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed1/params_1000000.pkl,512,,3,0.0,1.0
0.03,0.0002597599039715629,346.4737960861454,True,2,0.0,0.0,0.00019044711370952427,0.00019044711370952427,0.0,0.0,0.0,0.0,hopper-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed1/params_1000000.pkl,512,,3,0.0,1.0
0.1,0.0008658663465718765,346.4737960861454,False,200,0.00031942129135131836,1.0469570952409413e-05,0.0006348250317387283,0.0006334362551569939,0.01652821553419702,0.0,0.0,0.0,hopper-expert-v2,1,/home/ext_csv/mpi_sweep_lab/results_qnorm/hopper-expert-v2_tau1_seed1/params_1000000.pkl,512,,3,0.0,1.0
