family,K,integrator,environment,T,seed,tag,score_column,target_d4rl,deployment_d4rl,delta_endpoint_minus_first,host_run_dir
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.1,1,walker2d-medium-v2_tau0.1_mpi4_seed1,d4rl_pi4,75.15355642636611,81.6524526511309,6.498896224764792,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.1_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.05,1,walker2d-medium-v2_tau0.05_mpi4_seed1,d4rl_pi4,80.41825066526427,78.82772717523599,-1.590523490028275,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.05_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.2,3,walker2d-medium-v2_tau0.2_mpi4_seed3,d4rl_pi4,79.26884718572491,81.50683592482709,2.237988739102178,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.2_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,10,2,halfcheetah-expert-v2_tau10_mpi4_seed2,d4rl_pi4,98.1643213558366,30.676236508716215,-67.48808484712039,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau10_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.05,0,walker2d-medium-v2_tau0.05_mpi4_seed0,d4rl_pi4,72.1248757666154,79.43447171146546,7.309595944850059,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.05_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,14,3,halfcheetah-expert-v2_tau14_mpi4_seed3,d4rl_pi4,51.53569564612855,6.559785129812424,-44.97591051631613,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau14_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,12,2,halfcheetah-expert-v2_tau12_mpi4_seed2,d4rl_pi4,94.64916655472996,39.980460582632666,-54.66870597209729,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau12_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.4,0,walker2d-medium-v2_tau0.4_mpi4_seed0,d4rl_pi4,74.50633603579475,82.13279505691182,7.626459021117071,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.4_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.2,1,walker2d-medium-v2_tau0.2_mpi4_seed1,d4rl_pi4,73.73225451626385,73.48873133102353,-0.24352318524032057,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.2_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.4,1,walker2d-medium-v2_tau0.4_mpi4_seed1,d4rl_pi4,79.46613356358382,85.18130499603872,5.715171432454895,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.4_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.2,0,walker2d-medium-v2_tau0.2_mpi4_seed0,d4rl_pi4,80.40533964973177,82.88365166922506,2.4783120194932877,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.2_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,20,3,halfcheetah-expert-v2_tau20_mpi4_seed3,d4rl_pi4,39.40462743524857,0.856604127597848,-38.54802330765072,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau20_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.7,3,walker2d-medium-v2_tau0.7_mpi4_seed3,d4rl_pi4,81.91337063768972,82.57911295713724,0.6657423194475172,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.7_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,17,2,halfcheetah-expert-v2_tau17_mpi4_seed2,d4rl_pi4,64.58870855338627,3.901343887816897,-60.68736466556937,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau17_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,14,2,halfcheetah-expert-v2_tau14_mpi4_seed2,d4rl_pi4,82.21842149271995,6.469151770299374,-75.74926972242058,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau14_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.7,1,walker2d-medium-v2_tau0.7_mpi4_seed1,d4rl_pi4,77.75543750502091,79.31530889124893,1.559871386228025,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.7_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,1.5,0,walker2d-medium-v2_tau1.5_mpi4_seed0,d4rl_pi4,82.17757636327774,83.60091295479663,1.4233365915188898,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau1.5_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,1.5,1,walker2d-medium-v2_tau1.5_mpi4_seed1,d4rl_pi4,81.34316198120219,87.10486938973047,5.761707408528281,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau1.5_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.7,0,walker2d-medium-v2_tau0.7_mpi4_seed0,d4rl_pi4,80.14118966316695,82.00348206788574,1.8622924047187865,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.7_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.05,2,walker2d-medium-v2_tau0.05_mpi4_seed2,d4rl_pi4,61.88549149494808,79.90291325641905,18.017421761470978,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.05_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,0.1,3,walker2d-medium-v2_tau0.1_mpi4_seed3,d4rl_pi4,77.45016493296761,79.1251386014849,1.6749736685172962,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau0.1_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,2.5,1,walker2d-medium-v2_tau2.5_mpi4_seed1,d4rl_pi4,83.87165883760802,88.09410405702964,4.2224452194216155,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau2.5_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,4,0,walker2d-medium-v2_tau4_mpi4_seed0,d4rl_pi4,83.79424934912223,86.9719191095119,3.1776697603896764,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau4_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,2.5,3,walker2d-medium-v2_tau2.5_mpi4_seed3,d4rl_pi4,83.82515896245002,87.23453099119052,3.4093720287405063,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau2.5_mpi4_seed3
historical_i4_504_cpu_reeval,4,implicit,halfcheetah-expert-v2,20,2,halfcheetah-expert-v2_tau20_mpi4_seed2,d4rl_pi4,40.77343024365526,1.1420328182499888,-39.631397425405275,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/halfcheetah-expert-v2_tau20_mpi4_seed2
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,10,0,walker2d-medium-v2_tau10_mpi4_seed0,d4rl_pi4,2.715891931047002,2.3018707417014848,-0.41402118934551746,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau10_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,4,1,walker2d-medium-v2_tau4_mpi4_seed1,d4rl_pi4,84.4848909678896,88.33926905083098,3.8543780829413805,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau4_mpi4_seed1
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,14,0,walker2d-medium-v2_tau14_mpi4_seed0,d4rl_pi4,2.3518703417069435,2.3018707417014848,-0.04999960000545878,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau14_mpi4_seed0
historical_i4_504_cpu_reeval,4,implicit,walker2d-medium-v2,2.5,0,walker2d-medium-v2_tau2.5_mpi4_seed0,d4rl_pi4,83.18674830756046,85.83593215972446,2.6491838521640005,/home/ext_csv/mpi_sweep_lab/results/mpi4_norm/walker2d-medium-v2_tau2.5_mpi4_seed0
