task,T,training_seed,method,state_set,metric,actor_a,actor_b,value,n,n_excluded,q_weight,action_grad_norm,paired,checkpoint_hash
hopper-medium-v2,7,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.045134205371141434,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.04926863685250282,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.0613967590034008,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.07867465168237686,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d2_d3,delta,delta,-0.03344332054257393,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d3_d4,delta,delta,0.06126076728105545,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,7,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.09345296025276184,1601,0,,,True,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu1,,0.19189453125,4096,0,0.020632294937968254,3.253143787384033,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu2,,0.20751953125,4096,0,0.020632294937968254,3.2229132652282715,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu3,,0.232666015625,4096,0,0.020618772134184837,3.2082180976867676,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,bound_frac,mu4,,0.24853515625,4096,0,0.02060476690530777,3.200068473815918,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,adjacent_rms,mu1,mu2,0.05329032242298126,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,adjacent_rms,mu2,mu3,0.05684313178062439,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,adjacent_rms,mu3,mu4,0.05603928491473198,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,from_mu1_rms,mu1,mu2,0.05329032242298126,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,from_mu1_rms,mu1,mu3,0.08192130923271179,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,from_mu1_rms,mu1,mu4,0.10656262934207916,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,cos_d2_d3,delta,delta,0.07911605387926102,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,cos_d3_d4,delta,delta,-0.043465662747621536,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,dataset,cos_d2_d4,delta,delta,0.2346571534872055,4096,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,bound_frac,mu1,,0.23955773955773957,1628,0,0.01764250174164772,2.886517286300659,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,bound_frac,mu2,,0.26965601965601965,1628,0,0.01764250174164772,2.904919147491455,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,bound_frac,mu3,,0.29975429975429974,1628,0,0.01763555407524109,2.9258320331573486,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,bound_frac,mu4,,0.3095823095823096,1628,0,0.017626097425818443,2.976973295211792,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,adjacent_rms,mu1,mu2,0.050488632172346115,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,adjacent_rms,mu2,mu3,0.05353429168462753,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,adjacent_rms,mu3,mu4,0.058072250336408615,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,from_mu1_rms,mu1,mu2,0.050488632172346115,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,from_mu1_rms,mu1,mu3,0.0728747546672821,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,from_mu1_rms,mu1,mu4,0.09856626391410828,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,cos_d2_d3,delta,delta,0.018757494166493416,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,cos_d3_d4,delta,delta,-0.027035223320126534,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,10,0,MART4,rollout_union,cos_d2_d4,delta,delta,0.16744117438793182,1628,0,,,True,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d
hopper-medium-v2,14,0,MART4,dataset,bound_frac,mu1,,0.196533203125,4096,0,0.028221143409609795,2.958669900894165,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,bound_frac,mu2,,0.225341796875,4096,0,0.028221143409609795,2.931178331375122,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,bound_frac,mu3,,0.244384765625,4096,0,0.02819894440472126,2.9065215587615967,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
hopper-medium-v2,14,0,MART4,dataset,bound_frac,mu4,,0.2646484375,4096,0,0.028176290914416313,2.9081859588623047,True,0ceed413b05e58b8a621449786c897bf563b766ccf8e1f85e0509edb90ac39ce
