task,T,training_seed,method,actor_index,actor_role,checkpoint_hash,checkpoint_step,evaluation_seed,raw_return,normalized_score,episode_length,host_run_dir
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10003,1390.2328959624163,43.33918772661639,435,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10004,1893.157667999362,58.792056027139395,589,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10005,1519.2986358795047,47.304862101673436,468,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10006,1541.7015512802184,47.99321415844895,483,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10007,1618.4984584917315,50.35287619740657,510,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10008,1758.8876391609988,54.666474652527306,545,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,1,target_value,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10009,1777.816480822117,55.2480823074575,544,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10000,1690.9190807995342,52.578072491142095,515,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10001,1574.811625508492,49.01055441472184,487,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10002,1720.8384854089024,53.49737622157092,522,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10003,1581.5162291364015,49.216560089188164,492,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10004,1901.2203304761795,59.0397894225361,585,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10005,1557.2326112575006,48.47042156150531,482,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10006,2862.183715251455,88.56635373634616,865,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10007,1880.1620537698361,58.392752738975815,576,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
hopper-medium-v2,4,0,two_actor_p4,2,deployment,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,1000000,10008,2325.7545044084973,72.08402793215858,704,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0
