task,T,training_seed,method,actor_index,actor_role,n_episodes,mean_normalized,mean_raw_return,mean_length,n_timeout,pooled_reward_per_step,mean_episode_reward_per_step
hopper-expert-v2,20,1,MART4,4,mu4,10,7.76567044362195,232.46705455569062,101.9,0,2.2813253636476016,2.2813250864386934
hopper-expert-v2,20,1,two_actor_p4,1,target_value,10,1.8093330749201786,38.613748161557034,21.9,0,1.7631848475596819,1.7631841494885283
hopper-expert-v2,20,1,two_actor_p4,2,deployment,10,1.8093330671800953,38.613747909650414,21.9,0,1.7631848360570965,1.7631841380383784
hopper-medium-replay-v2,4,0,MART4,1,mu1,10,53.25687324918415,1713.0111422769012,534.4,0,3.205484921925339,3.2008249692410047
hopper-medium-replay-v2,4,0,MART4,2,mu2,10,99.12061185565426,3205.679677000671,1000.0,10,3.205679677000671,3.2056796770006706
hopper-medium-replay-v2,4,0,MART4,3,mu3,10,99.62010580177092,3221.9360686361347,1000.0,10,3.2219360686361345,3.221936068636134
hopper-medium-replay-v2,4,0,MART4,4,mu4,10,99.02465934737398,3202.5568332402277,1000.0,10,3.2025568332402274,3.2025568332402274
hopper-medium-replay-v2,4,0,two_actor_p4,1,target_value,10,36.44359664247009,1165.8108982717417,358.0,0,3.2564550231054237,3.2558354373435527
hopper-medium-replay-v2,4,0,two_actor_p4,2,deployment,10,96.82221363617008,3130.876645090725,1000.0,10,3.130876645090725,3.1308766450907255
hopper-medium-replay-v2,4,1,MART4,1,mu1,10,23.07259899028517,730.6421117815307,215.3,0,3.3936001476150985,3.4032083614661124
hopper-medium-replay-v2,4,1,MART4,2,mu2,10,99.25226017624321,3209.964266782556,1000.0,10,3.209964266782556,3.2099642667825563
hopper-medium-replay-v2,4,1,MART4,3,mu3,10,99.06314339962461,3203.809324546618,1000.0,10,3.203809324546618,3.2038093245466177
hopper-medium-replay-v2,4,1,MART4,4,mu4,10,99.01468718717436,3202.2322820761597,1000.0,10,3.2022322820761597,3.20223228207616
hopper-medium-replay-v2,4,1,two_actor_p4,1,target_value,10,35.64828988096674,1139.9270646720613,345.2,1,3.3022220876942683,3.3512424417786972
hopper-medium-replay-v2,4,1,two_actor_p4,2,deployment,10,98.3885029026815,3181.852661774793,1000.0,10,3.181852661774793,3.1818526617747933
hopper-medium-replay-v2,7,0,MART4,1,mu1,10,44.24623884138024,1419.753530335714,430.7,0,3.2963861860592387,3.2947919313834966
hopper-medium-replay-v2,7,0,MART4,2,mu2,10,98.84558652617922,3196.7287787958403,1000.0,10,3.1967287787958405,3.19672877879584
hopper-medium-replay-v2,7,0,MART4,3,mu3,10,98.94528339333895,3199.9734854233748,1000.0,10,3.199973485423375,3.1999734854233752
hopper-medium-replay-v2,7,0,MART4,4,mu4,10,99.47513842476474,3217.218000532807,1000.0,10,3.2172180005328066,3.2172180005328066
hopper-medium-replay-v2,7,0,two_actor_p4,1,target_value,10,47.48586734067305,1525.1895822585852,459.2,0,3.321405884709463,3.3156699946660693
hopper-medium-replay-v2,7,0,two_actor_p4,2,deployment,10,98.21077971809645,3176.068532229724,1000.0,10,3.176068532229724,3.176068532229724
hopper-medium-replay-v2,7,1,MART4,1,mu1,10,98.86446505515117,3197.3431941713525,1000.0,10,3.197343194171353,3.1973431941713533
hopper-medium-replay-v2,7,1,MART4,2,mu2,10,99.33354292595334,3212.609672643365,1000.0,10,3.2126096726433646,3.2126096726433637
hopper-medium-replay-v2,7,1,MART4,3,mu3,10,97.95963833387725,3167.894954292532,1000.0,10,3.167894954292532,3.1678949542925325
hopper-medium-replay-v2,7,1,MART4,4,mu4,10,100.42883828332464,3248.256852002321,1000.0,10,3.248256852002321,3.2482568520023207
hopper-medium-replay-v2,7,1,two_actor_p4,1,target_value,10,53.9708083849077,1736.2466774798238,541.6,2,3.2057730381828358,3.127770919161511
hopper-medium-replay-v2,7,1,two_actor_p4,2,deployment,10,98.48447875492971,3184.9762652815516,1000.0,10,3.1849762652815516,3.184976265281551
hopper-medium-replay-v2,10,0,MART4,1,mu1,10,55.36944577005676,1781.7663424642615,542.3,1,3.285573192816267,3.2926810608218573
hopper-medium-replay-v2,10,0,MART4,2,mu2,10,99.42909221568645,3215.719393364642,1000.0,10,3.215719393364642,3.2157193933646426
hopper-medium-replay-v2,10,0,MART4,3,mu3,10,100.3590368400521,3245.985113561083,1000.0,10,3.245985113561083,3.2459851135610824
hopper-medium-replay-v2,10,0,MART4,4,mu4,10,100.75349494517232,3258.8230378051535,1000.0,10,3.2588230378051537,3.2588230378051533
hopper-medium-replay-v2,10,0,two_actor_p4,1,target_value,10,64.3899112041829,2075.3439122654286,630.8,1,3.290018884377661,3.291230819264439
hopper-medium-replay-v2,10,0,two_actor_p4,2,deployment,10,100.286463538428,3243.6231629856,1000.0,10,3.2436231629856005,3.2436231629856005
hopper-medium-replay-v2,10,1,MART4,1,mu1,10,53.87788256504352,1733.2223394823304,532.0,1,3.257936728350245,3.25946302698233
hopper-medium-replay-v2,10,1,MART4,2,mu2,10,100.3637234590717,3246.1376429657353,1000.0,10,3.2461376429657354,3.246137642965736
hopper-medium-replay-v2,10,1,MART4,3,mu3,10,98.94029713337045,3199.811203987383,1000.0,10,3.199811203987383,3.199811203987384
hopper-medium-replay-v2,10,1,MART4,4,mu4,10,100.09646089724525,3237.439389646899,1000.0,10,3.237439389646899,3.237439389646899
hopper-medium-replay-v2,10,1,two_actor_p4,1,target_value,10,52.97858804812879,1703.9541491944397,528.1,4,3.226574794914675,3.2864585114335676
hopper-medium-replay-v2,10,1,two_actor_p4,2,deployment,10,99.22743006731743,3209.1561529341557,1000.0,10,3.2091561529341557,3.2091561529341552
hopper-medium-replay-v2,14,0,MART4,1,mu1,10,58.15286574285136,1872.354758030673,570.5,1,3.281954001806614,3.281023347411564
hopper-medium-replay-v2,14,0,MART4,2,mu2,10,98.57432640606922,3187.9004220522306,1000.0,10,3.187900422052231,3.1879004220522305
hopper-medium-replay-v2,14,0,MART4,3,mu3,10,98.50490800395286,3185.641149962378,1000.0,10,3.185641149962378,3.185641149962378
hopper-medium-replay-v2,14,0,MART4,4,mu4,10,97.36654495325637,3148.5923013840575,1000.0,10,3.148592301384057,3.148592301384057
hopper-medium-replay-v2,14,0,two_actor_p4,1,target_value,10,34.40015727292199,1099.3056864809625,330.6,0,3.3251835646732077,3.3244668212580564
hopper-medium-replay-v2,14,0,two_actor_p4,2,deployment,10,98.8366842819025,3196.4390488190875,1000.0,10,3.1964390488190877,3.1964390488190877
hopper-medium-replay-v2,14,1,MART4,1,mu1,10,84.38957780278557,2726.247522475887,844.0,8,3.2301510929809085,3.244507037118415
hopper-medium-replay-v2,14,1,MART4,2,mu2,10,99.87117629681444,3230.1073394338478,1000.0,10,3.2301073394338475,3.2301073394338475
hopper-medium-replay-v2,14,1,MART4,3,mu3,10,99.26683485851395,3210.4386103552815,1000.0,10,3.2104386103552813,3.2104386103552813
hopper-medium-replay-v2,14,1,MART4,4,mu4,10,100.14735999205102,3239.0959374899426,1000.0,10,3.239095937489943,3.2390959374899433
hopper-medium-replay-v2,14,1,two_actor_p4,1,target_value,10,60.999182130742476,1964.9901829036535,608.3,5,3.2302978512307305,3.3141601614382905
hopper-medium-replay-v2,14,1,two_actor_p4,2,deployment,10,99.47626558067633,3217.254684636939,1000.0,10,3.217254684636939,3.217254684636939
hopper-medium-replay-v2,20,0,MART4,1,mu1,10,91.9476581069172,2972.2307108438144,904.1,6,3.2875021688351005,3.2970660918683934
hopper-medium-replay-v2,20,0,MART4,2,mu2,10,100.49422626711595,3250.384951213591,1000.0,10,3.2503849512135914,3.2503849512135914
hopper-medium-replay-v2,20,0,MART4,3,mu3,10,100.82456764966344,3261.136150361936,1000.0,10,3.261136150361936,3.2611361503619363
hopper-medium-replay-v2,20,0,MART4,4,mu4,10,101.27703642348965,3275.8620737636566,1000.0,10,3.2758620737636566,3.275862073763657
hopper-medium-replay-v2,20,0,two_actor_p4,1,target_value,10,91.04893253205675,2942.981037186454,898.7,6,3.2747090655240396,3.285355622959669
hopper-medium-replay-v2,20,0,two_actor_p4,2,deployment,10,100.66040900071565,3255.7934884370184,1000.0,10,3.2557934884370185,3.255793488437019
hopper-medium-replay-v2,20,1,MART4,1,mu1,10,24.931157183133482,791.1302319982805,236.5,0,3.34515954333311,3.3393467537408013
hopper-medium-replay-v2,20,1,MART4,2,mu2,10,101.41367453401597,3280.309059866921,1000.0,10,3.2803090598669207,3.2803090598669216
hopper-medium-replay-v2,20,1,MART4,3,mu3,10,100.05498002047324,3236.0893645196056,1000.0,10,3.236089364519606,3.236089364519606
hopper-medium-replay-v2,20,1,MART4,4,mu4,10,99.63249148049455,3222.3391695056607,1000.0,10,3.2223391695056605,3.2223391695056605
hopper-medium-replay-v2,20,1,two_actor_p4,1,target_value,10,83.52034944188954,2697.9578569749588,842.6,7,3.2019438131675275,3.2192407846172046
hopper-medium-replay-v2,20,1,two_actor_p4,2,deployment,10,99.69359862300173,3224.327945642076,1000.0,10,3.224327945642076,3.224327945642076
hopper-medium-v2,4,0,MART4,1,mu1,10,48.93194671227714,1572.2532809951297,489.2,0,3.213927393694051,3.2110433604842945
hopper-medium-v2,4,0,MART4,2,mu2,10,54.83446937388798,1764.3551488362652,542.1,0,3.254667310157287,3.2501505499522416
hopper-medium-v2,4,0,MART4,3,mu3,10,51.57271419838413,1658.1989682374126,506.9,0,3.271254622681816,3.269250385770616
hopper-medium-v2,4,0,MART4,4,mu4,10,65.97890991878539,2127.0590243576876,643.4,1,3.305966777055778,3.2995012960908157
hopper-medium-v2,4,0,two_actor_p4,1,target_value,10,51.076481800603936,1642.0487260508212,510.2,0,3.2184412505896143,3.2173038226199573
