task,T,training_seed,kind,hop,first_source,continuation_source,evaluation_seed,raw_return,discounted_return,normalized_score,episode_length,terminated,truncated,q_mart_first,q_mart_cont_action,delta_q_mart,q_two_first,q_two_cont_action,delta_q_two,first_action_rms,checkpoint_hash_mart,checkpoint_hash_two
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10008,2364.237433499741,252.16680418930974,73.26645454569925,715,1,0,207.60130310058594,206.78521728515625,0.8160858154296875,205.53506469726562,204.90029907226562,0.634765625,0.09549757838249207,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,0,hybrid,2,mart_hop,mart_polyak_mu1,10009,3215.011612392452,252.8141931375566,99.40734493506518,1000,0,1,206.77757263183594,205.8719482421875,0.9056243896484375,205.1258544921875,204.50762939453125,0.61822509765625,0.09633627533912659,95fa8be2e5439c7708acc429dde5034367ef928cf3096282e9a37a8ee6acad28,df254c3d6c7df282cb71dd6b01f62ee8f945c8c41b1d2c1e9717bb364836b4e9
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10000,2535.4788408443424,249.3231308660867,78.52801862530266,754,1,0,201.45347595214844,200.89683532714844,0.556640625,202.94857788085938,202.62890625,0.319671630859375,0.07590486109256744,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10001,3333.1991701295024,249.28738839398696,103.03877624649984,1000,0,1,201.95742797851562,201.4237823486328,0.5336456298828125,204.0702362060547,203.78990173339844,0.28033447265625,0.07130409777164459,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10002,3271.9498225576212,249.93754336714574,101.15682857928152,975,1,0,201.2848663330078,200.56146240234375,0.7234039306640625,202.7962646484375,202.36878967285156,0.4274749755859375,0.08749490231275558,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10003,3219.805389384726,250.08460933694164,99.55463854365729,1000,0,1,200.64840698242188,200.09197998046875,0.556427001953125,202.15542602539062,201.80474853515625,0.350677490234375,0.10127072781324387,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10004,3281.9550758551945,248.88706872146508,101.4642500270153,1000,0,1,201.90333557128906,201.21798706054688,0.6853485107421875,203.52975463867188,203.18238830566406,0.3473663330078125,0.07714817672967911,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10005,3238.6079939033557,249.85433047556782,100.1323674357069,965,1,0,201.7703094482422,201.0713348388672,0.698974609375,203.07342529296875,202.5450439453125,0.52838134765625,0.09685131907463074,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10006,1875.5775712736913,248.82711606496932,58.25188991380209,567,1,0,202.59796142578125,202.15005493164062,0.447906494140625,205.09103393554688,204.79513549804688,0.2958984375,0.06903529167175293,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
hopper-medium-replay-v2,10,1,hybrid,2,mart_hop,mart_polyak_mu1,10007,2983.312653212817,248.6933440985929,92.28816190681673,884,1,0,202.70965576171875,202.11021423339844,0.5994415283203125,204.51284790039062,204.29615783691406,0.2166900634765625,0.06520108878612518,e7f827ecf0e3aaed0fa772d58f597439b77fc47b3ae2565b7cd551ecc60b8db3,4000e5ce69f8f0ae9110dc7f51294a78e44c105a71977db512b1fc314329b1f2
