environment,seed,tau,method,hop,n_hops,ref_method,hop_vs_mpi1_final_rms,relative_hop_vs_mpi1_final,hop_vs_prev_rms,hop_vs_aD_rms,is_final_hop,n_states
halfcheetah-medium-v2,2,7.0,mpi1,1,1,mpi1,0.0,0.0,0.2971121997157259,0.2971121997157259,True,512
halfcheetah-medium-v2,2,7.0,mpi2,1,2,mpi1,0.17112559004247474,0.5759628524382575,0.27118570026218525,0.27118570026218525,False,512
halfcheetah-medium-v2,2,7.0,mpi2,2,2,mpi1,0.16397058242928614,0.5518810152735957,0.11355337236549826,0.3065818425175125,True,512
halfcheetah-medium-v2,2,7.0,mpi3,1,3,mpi1,0.16486735606166567,0.5548993148696323,0.2701500087116015,0.2701500087116015,False,512
halfcheetah-medium-v2,2,7.0,mpi3,2,3,mpi1,0.16568059064262342,0.5576364444177823,0.09857805164826106,0.29204115496244293,False,512
halfcheetah-medium-v2,2,7.0,mpi3,3,3,mpi1,0.1820698400011469,0.6127982633340185,0.09470447580890115,0.3161377786741505,True,512
halfcheetah-medium-v2,2,10.0,mpi1,1,1,mpi1,0.0,0.0,0.3270485689665314,0.3270485689665314,True,512
halfcheetah-medium-v2,2,10.0,mpi2,1,2,mpi1,0.21048377267420926,0.64358567089694,0.28342691044203194,0.28342691044203194,False,512
halfcheetah-medium-v2,2,10.0,mpi2,2,2,mpi1,0.23230686487556523,0.7103130449695941,0.1350735294019071,0.33179912753744484,True,512
halfcheetah-medium-v2,2,10.0,mpi3,1,3,mpi1,0.21198302589597956,0.6481698622496431,0.26935679683269936,0.26935679683269936,False,512
halfcheetah-medium-v2,2,10.0,mpi3,2,3,mpi1,0.21927053976149405,0.6704525277526383,0.1091764814373108,0.30252164252216174,False,512
halfcheetah-medium-v2,2,10.0,mpi3,3,3,mpi1,0.23240618638277216,0.7106167353588253,0.10967320175645623,0.33930769686818496,True,512
halfcheetah-medium-v2,2,12.0,mpi1,1,1,mpi1,0.0,0.0,0.34418974755634074,0.34418974755634074,True,512
