environment,seed,tau,method_a,method_b,final_action_rms,relative_final_action_rms,aD_to_final_a_rms,aD_to_final_b_rms,n_states
halfcheetah-medium-v2,3,1.5,mpi2,mpi3,0.08169781557512282,0.2992442399359176,0.26617458654938897,0.27301382841192934,512
halfcheetah-medium-v2,3,2.5,mpi1,mpi2,0.10829556398324973,0.39823205918137844,0.2674324096446166,0.27194084827290493,512
halfcheetah-medium-v2,3,2.5,mpi1,mpi3,0.11873449229061293,0.4247565949592423,0.2674324096446166,0.2795353708445802,512
halfcheetah-medium-v2,3,2.5,mpi2,mpi3,0.09196782682272345,0.32900246771939623,0.27194084827290493,0.2795353708445802,512
halfcheetah-medium-v2,3,4.0,mpi1,mpi2,0.12957350884667523,0.446280197533389,0.2776604436365901,0.290341156884921,512
halfcheetah-medium-v2,3,4.0,mpi1,mpi3,0.13438402835350888,0.46118401813508364,0.2776604436365901,0.2913891701991871,512
halfcheetah-medium-v2,3,4.0,mpi2,mpi3,0.11680510223303729,0.40085601724042097,0.290341156884921,0.2913891701991871,512
halfcheetah-medium-v2,3,7.0,mpi1,mpi2,0.18559522343514176,0.5907634058284915,0.3141616789463482,0.30333847531941494,512
halfcheetah-medium-v2,3,7.0,mpi1,mpi3,0.18792823922534596,0.5888404016755772,0.3141616789463482,0.3191497028576606,512
halfcheetah-medium-v2,3,7.0,mpi2,mpi3,0.1517712315613116,0.4755487164874501,0.30333847531941494,0.3191497028576606,512
halfcheetah-medium-v2,3,10.0,mpi1,mpi2,0.20805117758303646,0.6097120702420197,0.3157651075776287,0.3412285695778541,512
halfcheetah-medium-v2,3,10.0,mpi1,mpi3,0.20006380227533557,0.5874603916892605,0.3157651075776287,0.34055709134712203,512
halfcheetah-medium-v2,3,10.0,mpi2,mpi3,0.1909757411433523,0.5596710186946396,0.3412285695778541,0.34055709134712203,512
halfcheetah-medium-v2,3,14.0,mpi1,mpi2,0.2291701533205543,0.6503849852995435,0.352360768622306,0.35218045399768005,512
halfcheetah-medium-v2,3,14.0,mpi1,mpi3,0.23697266947590942,0.649878588217575,0.352360768622306,0.36464144806779286,512
halfcheetah-medium-v2,3,14.0,mpi2,mpi3,0.20731102236463536,0.5685338939474944,0.35218045399768005,0.36464144806779286,512
halfcheetah-medium-v2,3,17.0,mpi1,mpi2,0.2825900483955389,0.7441684837342538,0.37332579503293256,0.37973933937311594,512
halfcheetah-medium-v2,3,17.0,mpi1,mpi3,0.2932466789107907,0.7641150401585494,0.37332579503293256,0.383772944516239,512
halfcheetah-medium-v2,3,17.0,mpi2,mpi3,0.24482086534106487,0.6379315395713245,0.37973933937311594,0.383772944516239,512
halfcheetah-medium-v2,3,20.0,mpi1,mpi2,0.2705604936904644,0.6910582169219845,0.3915162095829746,0.38776764852756024,512
halfcheetah-medium-v2,3,20.0,mpi1,mpi3,0.2983192444778198,0.7340231012738492,0.3915162095829746,0.4064166971858328,512
halfcheetah-medium-v2,3,20.0,mpi2,mpi3,0.2658872043943227,0.6542231316661347,0.38776764852756024,0.4064166971858328,512
halfcheetah-medium-replay-v2,2,0.05,mpi1,mpi2,0.22624565267687205,0.5074676147581992,0.4134908615839168,0.44583269177615353,512
halfcheetah-medium-replay-v2,2,0.05,mpi1,mpi3,0.22829894804629453,0.49936473853538044,0.4134908615839168,0.45717875217999465,512
halfcheetah-medium-replay-v2,2,0.05,mpi2,mpi3,0.16221935405305907,0.354826975837215,0.44583269177615353,0.45717875217999465,512
halfcheetah-medium-replay-v2,2,0.1,mpi1,mpi2,0.23627054240334394,0.5247132302086448,0.41743903247316977,0.4502850867880619,512
halfcheetah-medium-replay-v2,2,0.1,mpi1,mpi3,0.23391757747010855,0.5080379941798312,0.41743903247316977,0.4604332356042416,512
halfcheetah-medium-replay-v2,2,0.1,mpi2,mpi3,0.17118275096212013,0.3717862606887433,0.4502850867880619,0.4604332356042416,512
halfcheetah-medium-replay-v2,2,0.2,mpi1,mpi2,0.2303291707784319,0.5119676562857257,0.4213954365347133,0.4498900818255729,512
halfcheetah-medium-replay-v2,2,0.2,mpi1,mpi3,0.2342435624190793,0.5082254445183291,0.4213954365347133,0.46090483061327975,512
halfcheetah-medium-replay-v2,2,0.2,mpi2,mpi3,0.1711361124088962,0.37130466213856467,0.4498900818255729,0.46090483061327975,512
halfcheetah-medium-replay-v2,2,0.4,mpi1,mpi2,0.23353179207480856,0.5183082020615594,0.4214146032192636,0.4505654958689464,512
halfcheetah-medium-replay-v2,2,0.4,mpi1,mpi3,0.244795189209291,0.5214798220489141,0.4214146032192636,0.4694240867220545,512
halfcheetah-medium-replay-v2,2,0.4,mpi2,mpi3,0.18784182782892248,0.40015379087299247,0.4505654958689464,0.4694240867220545,512
halfcheetah-medium-replay-v2,2,1.5,mpi1,mpi2,0.24827132157318224,0.5326982538898202,0.43515765912348775,0.46606370447111145,512
halfcheetah-medium-replay-v2,2,1.5,mpi1,mpi3,0.2488603878515346,0.5214442498174885,0.43515765912348775,0.4772521471636491,512
halfcheetah-medium-replay-v2,2,1.5,mpi2,mpi3,0.1971351248314142,0.4130628348201372,0.46606370447111145,0.4772521471636491,512
halfcheetah-medium-replay-v2,2,2.5,mpi1,mpi2,0.25182833104019997,0.532669808650973,0.4338457345536277,0.4727662933966062,512
halfcheetah-medium-replay-v2,2,2.5,mpi1,mpi3,0.2696335247603777,0.5482570546089625,0.4338457345536277,0.4918012864470855,512
halfcheetah-medium-replay-v2,2,2.5,mpi2,mpi3,0.22059996731907106,0.4485550839298305,0.4727662933966062,0.4918012864470855,512
halfcheetah-medium-replay-v2,2,4.0,mpi1,mpi2,0.2769375155508018,0.5615184018504362,0.44830636792947876,0.49319401579392186,512
halfcheetah-medium-replay-v2,2,4.0,mpi1,mpi3,0.28958419418552517,0.5639034186972719,0.44830636792947876,0.5135350923293244,512
halfcheetah-medium-replay-v2,2,4.0,mpi2,mpi3,0.24075248730367269,0.4688140906041155,0.49319401579392186,0.5135350923293244,512
halfcheetah-medium-replay-v2,2,7.0,mpi1,mpi2,0.29797495731890866,0.5920916102873429,0.46329600390636433,0.5032581988018728,512
halfcheetah-medium-replay-v2,2,7.0,mpi1,mpi3,0.3114268304964425,0.582896412488303,0.46329600390636433,0.5342747421741798,512
halfcheetah-medium-replay-v2,2,7.0,mpi2,mpi3,0.2656326956894975,0.4971837047892826,0.5032581988018728,0.5342747421741798,512
halfcheetah-medium-replay-v2,2,10.0,mpi1,mpi2,0.3233561847593878,0.6008312948900978,0.4975907900839027,0.5381813289511411,512
halfcheetah-medium-replay-v2,2,10.0,mpi1,mpi3,0.3381615416463989,0.604124399177701,0.4975907900839027,0.5597548155755416,512
halfcheetah-medium-replay-v2,2,10.0,mpi2,mpi3,0.316539543379981,0.5654967756811776,0.5381813289511411,0.5597548155755416,512
halfcheetah-medium-replay-v2,2,14.0,mpi1,mpi2,0.3283979588935448,0.5973052223487213,0.5153144573987736,0.5497992426756618,512
halfcheetah-medium-replay-v2,2,14.0,mpi1,mpi3,0.3539359193808232,0.6223089754575615,0.5153144573987736,0.5687462873576374,512
halfcheetah-medium-replay-v2,2,14.0,mpi2,mpi3,0.3189270676683196,0.5607545486583067,0.5497992426756618,0.5687462873576374,512
halfcheetah-medium-replay-v2,2,17.0,mpi1,mpi2,0.36895707331252736,0.641449468602707,0.5496869322908732,0.5751927336010428,512
halfcheetah-medium-replay-v2,2,17.0,mpi1,mpi3,0.3789399970313871,0.648697323481692,0.5496869322908732,0.5841553268595872,512
halfcheetah-medium-replay-v2,2,17.0,mpi2,mpi3,0.3601324687348678,0.6165012149609868,0.5751927336010428,0.5841553268595872,512
halfcheetah-medium-replay-v2,2,20.0,mpi1,mpi2,0.3936999591105135,0.672513541080746,0.5617808300463331,0.5854156608918653,512
halfcheetah-medium-replay-v2,2,20.0,mpi1,mpi3,0.40107398613842793,0.6708431416355589,0.5617808300463331,0.5978655236164204,512
halfcheetah-medium-replay-v2,2,20.0,mpi2,mpi3,0.36965464064508474,0.618290612258566,0.5854156608918653,0.5978655236164204,512
halfcheetah-medium-replay-v2,3,0.05,mpi1,mpi2,0.2359557142681263,0.5201429800229318,0.4155215943794184,0.45363625643418976,512
halfcheetah-medium-replay-v2,3,0.05,mpi1,mpi3,0.2348690477790286,0.5147050834829967,0.4155215943794184,0.4563177153597852,512
halfcheetah-medium-replay-v2,3,0.05,mpi2,mpi3,0.1632333182483926,0.3577185648374198,0.45363625643418976,0.4563177153597852,512
halfcheetah-medium-replay-v2,3,0.1,mpi1,mpi2,0.23421896570787842,0.5150706497300316,0.41377601973042055,0.45473172627996106,512
halfcheetah-medium-replay-v2,3,0.1,mpi1,mpi3,0.23141479077689664,0.5059257620272646,0.41377601973042055,0.45740859261566047,512
halfcheetah-medium-replay-v2,3,0.1,mpi2,mpi3,0.1727438770591838,0.3776577000256149,0.45473172627996106,0.45740859261566047,512
halfcheetah-medium-replay-v2,3,0.2,mpi1,mpi2,0.2393678901343933,0.5281919100845276,0.41891287178098496,0.4531835599225418,512
