environment,seed,method,integrator,s,t,total,pi_u_vs_continue_pi_s_rms,pi_u_vs_continue_pi_t_rms,relative_pi_u_vs_continue_mean,order_defect_rms,relative_order_defect,actor_gap_pi_s_to_pi_u_rms,actor_gap_aD_to_pi_u_rms,pi_s_vs_Phi_s_aD_rms,pi_u_vs_Phi_u_aD_rms,relative_pi_u_vs_Phi_u_aD,pi_u_vs_Phi_t_Phi_s_aD_rms,relative_pi_u_vs_Phi_t_Phi_s_aD,Phi_u_vs_Phi_t_Phi_s_aD_rms,relative_frozen_semigroup_from_aD,solver_converged_sample_fraction,all_solver_calls_converged,max_solver_iterations,max_fixed_point_residual,max_projection_fraction,all_numeric_outputs_finite,n_states
halfcheetah-expert-v2,3,mpi2,explicit,1.5,2.5,4.0,0.0716976600117817,0.06655048038786983,0.333526509538986,0.07166316405795894,0.34577774285680024,0.05940652831995167,0.2072521020753999,0.1889274917496388,0.1877289351823695,0.9057999089151446,0.18777011752997103,0.9059986154526858,0.026518214525632366,0.12795148642682927,1.0,True,1,0.0,0.509765625,True,512
halfcheetah-expert-v2,3,mpi2,implicit,1.5,2.5,4.0,0.054055040848424996,0.05165447425629564,0.24870068608089874,0.05279369571594333,0.24841336813047163,0.05021568475872958,0.21252356953759038,0.20646299406966054,0.2089558721168027,0.9536599949259993,0.2086440249836575,0.9522367464075432,0.00439091064468507,0.020039809270304576,0.05859375,False,200,0.12739872932434082,0.466796875,True,512
halfcheetah-expert-v2,3,mpi2,explicit,4.0,10.0,14.0,0.42972740021499406,0.43246735975996975,1.0041639032211587,0.17926718679757314,0.41757070761913423,0.39941383448525547,0.4293097756298618,0.1877289351823695,0.2927132511714482,0.6818229348306686,0.26473261856859187,0.6166470776962613,0.1378150261242601,0.32101534590509806,1.0,True,1,0.0,0.865234375,True,512
halfcheetah-expert-v2,3,mpi2,implicit,4.0,10.0,14.0,0.4441302550441764,0.4552430860545284,0.9840044700645056,0.15048564790290758,0.3292927273919785,0.43379643555666636,0.45699657291178114,0.5257581565223933,0.5330363422086515,0.7654050083027483,0.5233568664771151,0.7515059199742403,0.050546873641811076,0.07258197457828126,0.00390625,False,200,0.7843786478042603,0.859375,True,512
halfcheetah-expert-v2,3,mpi2,explicit,7.0,7.0,14.0,0.42719839957497285,0.42719839957497285,0.9950819287732472,0.0,0.0,0.40493632238687827,0.4293097756298618,0.1920375254249645,0.2927132511714482,0.6818229348306686,0.2587001163717538,0.6025954475231828,0.12293213815032701,0.2863483319707014,1.0,True,1,0.0,0.90625,True,512
halfcheetah-expert-v2,3,mpi2,implicit,7.0,7.0,14.0,0.4211779697977219,0.4211779697977219,0.9966840354178792,0.0,0.0,0.40637130768387514,0.4225792275494157,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,0.9523094892501831,0.900390625,False,512
halfcheetah-expert-v2,3,mpi2,explicit,7.0,10.0,17.0,0.4334136056596909,0.43133893258688355,1.0093151587011586,0.1954914331710406,0.4563443486290973,0.4035779384735356,0.428385787527151,0.1920375254249645,0.3207567730969735,0.7487568038812304,0.29386358247126204,0.6859788326956039,0.11550929442202001,0.26963848424756404,1.0,True,1,0.0,0.931640625,True,512
halfcheetah-expert-v2,3,mpi2,implicit,7.0,10.0,17.0,0.4067284915493762,0.40380217115459016,1.0268683007748587,0.15121015993532694,0.38313891660726673,0.37564449193860067,0.39466144884030047,nan,nan,nan,nan,nan,nan,nan,0.0,False,200,1.0532643795013428,0.9140625,False,512
halfcheetah-expert-v2,3,mpi2,explicit,10.0,10.0,20.0,0.5440894642172456,0.5440894642172456,1.089020089561475,0.0,0.0,0.49961379907724085,0.49890751180269655,0.20699546153266993,0.3889897503762754,0.7796830898992549,0.3471869497707966,0.6958944124058388,0.18204759731555234,0.3648924760779046,1.0,True,1,0.0,0.93359375,True,512
halfcheetah-expert-v2,3,mpi2,implicit,10.0,10.0,20.0,0.5091618088272086,0.5091618088272086,1.0090138779559736,0.0,0.0,0.48463995144070476,0.5046132862499885,0.12231519592376212,0.17872794573835737,0.3177622787132653,0.17815712310071996,0.3167474071926005,0.000571593781888255,0.0010162425460707608,0.001953125,False,200,1.239275574684143,0.9296875,True,512
halfcheetah-expert-v2,3,mpi3,explicit,0.05,0.05,0.1,0.03414478047478456,0.03414478047478456,0.17515524576217684,0.0,0.0,0.03411201606704155,0.1949400962911829,0.19455603695958115,0.1941212425065012,0.9957994594223522,0.1941223591903002,0.9958051877656752,0.0004355013205174388,0.002234026394790164,1.0,True,1,0.0,0.001953125,True,512
