method,hop,tau,environment,stability,n_seed_cells,r_before_mean,slack_before_mean,r_after_mean,slack_after_mean
p4,2,4.0,hopper-medium-replay-v2,stable,2,0.00709907490550421,0.00709907490550421,0.006705742048698449,0.006705742048698449
p4,2,4.0,hopper-medium-v2,stable,2,0.0021089800660356595,0.0021089800660356595,0.0019455780940574874,0.0019455780940574874
p4,2,4.0,walker2d-expert-v2,stable,2,0.0012280649287419454,0.0012280649287419454,0.0011423429398977891,0.0011423429398977891
p4,2,4.0,walker2d-medium-replay-v2,stable,2,0.010589156058403715,0.010589156058403715,0.010285696988638793,0.010285696988638793
p4,2,4.0,walker2d-medium-v2,stable,2,0.0018699481757925573,0.0018699481757925573,0.0016783391711923112,0.0016783391711923112
p4,2,7.0,halfcheetah-expert-v2,stable,2,0.0009248672986572615,0.0009248672986572615,0.000827812769588876,0.000827812769588876
p4,2,7.0,halfcheetah-medium-replay-v2,stable,2,0.012553917759076327,0.012553917759076327,0.012280070015341593,0.012280070015341593
p4,2,7.0,halfcheetah-medium-v2,stable,2,0.00044166296597714094,0.00044166296597714094,0.00028752439916956973,0.00028752439916956973
p4,2,7.0,hopper-expert-v2,stable,2,0.0038814518442165102,0.0038814518442165102,0.0035244159701461886,0.0035244159701461886
p4,2,7.0,hopper-medium-replay-v2,stable,2,0.0028737668466432,0.0028737668466432,0.002468265607858733,0.002468265607858733
p4,2,7.0,hopper-medium-v2,stable,2,0.0015120999057394169,0.0015120999057394169,0.0013106593426455149,0.0013106593426455149
p4,2,7.0,walker2d-expert-v2,stable,2,0.0009561154990125331,0.0009561154990125331,0.0008949687566148778,0.0008949687566148778
p4,2,7.0,walker2d-medium-replay-v2,stable,2,0.006055773956515242,0.006055773956515242,0.005592979681059651,0.005592979681059651
p4,2,7.0,walker2d-medium-v2,stable,2,0.0005451488094287971,0.0005451488094287971,0.0003954829677936811,0.0003954829677936811
p4,2,10.0,halfcheetah-expert-v2,collapsed,1,0.00015603874371450388,0.00015603874371450388,7.627799424536619e-05,7.627799424536619e-05
p4,2,10.0,halfcheetah-expert-v2,stable,1,0.00018457105485047975,0.00018457105485047975,7.7413493428935e-05,7.7413493428935e-05
p4,2,10.0,halfcheetah-medium-replay-v2,stable,2,0.010039809763975782,0.010039809763975782,0.009748455591099159,0.009748455591099159
p4,2,10.0,halfcheetah-medium-v2,stable,2,-0.0006493291457418948,0.0,-0.0008129478384173439,0.0
p4,2,10.0,hopper-expert-v2,collapsed,1,0.004335501755252658,0.004335501755252658,0.003872413677806108,0.003872413677806108
p4,2,10.0,hopper-expert-v2,stable,1,0.0035583004542223406,0.0035583004542223406,0.0031844493642960714,0.0031844493642960714
p4,2,10.0,hopper-medium-replay-v2,stable,2,0.0002780233421280087,0.0005502833293355991,-0.00025356717705182774,0.0001113281130553645
p4,2,10.0,hopper-medium-v2,stable,2,0.0009201446221860365,0.0009201446221860365,0.0007299333820234288,0.0007299333820234288
p4,2,10.0,walker2d-expert-v2,stable,2,0.0008001599598719267,0.0008001599598719267,0.0007332303228966275,0.0007332303228966275
p4,2,10.0,walker2d-medium-replay-v2,stable,2,0.0024223230301880783,0.0024223230301880783,0.001990030475680804,0.001990030475680804
p4,2,10.0,walker2d-medium-v2,collapsed,1,-0.08110773513202574,0.0,-0.08112387204031002,0.0
p4,2,10.0,walker2d-medium-v2,stable,1,0.00016839797158052505,0.00016839797158052505,-3.124257082642856e-05,0.0
p4,2,14.0,halfcheetah-expert-v2,collapsed,1,-0.0010173878000081515,0.0,-0.001067008963831384,0.0
p4,2,14.0,halfcheetah-expert-v2,stable,1,-0.0005408056898614788,0.0,-0.0006218800139201619,0.0
p4,2,14.0,halfcheetah-medium-replay-v2,stable,2,0.007205608596165369,0.007205608596165369,0.0069518326638391414,0.0069518326638391414
p4,2,14.0,halfcheetah-medium-v2,stable,2,-0.002190223189062923,0.0,-0.0022595986037696747,0.0
p4,2,14.0,hopper-expert-v2,collapsed,2,-0.043999433935657084,0.0,-0.044341024064442625,0.0
p4,2,14.0,hopper-medium-replay-v2,stable,2,-0.005215371251136691,0.0,-0.005680965047525355,0.0
p4,2,14.0,hopper-medium-v2,stable,2,-0.0001569544204809148,1.0450787612192869e-05,-0.0003262233783760671,0.0
p4,2,14.0,walker2d-expert-v2,collapsed,2,-0.03211729831478527,0.0,-0.03212505052258008,0.0
p4,2,14.0,walker2d-medium-replay-v2,collapsed,1,-0.0019470495579971825,0.0,-0.002277760545600138,0.0
p4,2,14.0,walker2d-medium-replay-v2,stable,1,0.0002493958153850784,0.0002493958153850784,-0.00045991877291040595,0.0
p4,2,14.0,walker2d-medium-v2,collapsed,1,-0.057673463369674494,0.0,-0.05769325819282933,0.0
p4,2,14.0,walker2d-medium-v2,stable,1,-0.0015977991579507744,0.0,-0.0017788642570533142,0.0
p4,2,20.0,halfcheetah-expert-v2,collapsed,2,-0.004343064109098016,0.0,-0.004476460373598279,0.0
p4,2,20.0,halfcheetah-medium-replay-v2,stable,2,0.003966784864789297,0.003966784864789297,0.003731572752599277,0.003731572752599277
p4,2,20.0,halfcheetah-medium-v2,stable,2,-0.004292056092952912,0.0,-0.0044647769561168005,0.0
p4,2,20.0,hopper-expert-v2,collapsed,2,-0.04316901143064644,0.0,-0.04357808121199458,0.0
p4,2,20.0,hopper-medium-replay-v2,stable,2,-0.010926312668236626,0.0,-0.011388574656092665,0.0
p4,2,20.0,hopper-medium-v2,stable,2,-0.002059248020542803,0.0,-0.002244508339599882,0.0
p4,2,20.0,walker2d-expert-v2,collapsed,2,-0.03995461494401731,0.0,-0.04001060506049203,0.0
p4,2,20.0,walker2d-medium-replay-v2,collapsed,1,-0.007284316237029742,0.0,-0.007643018855468142,0.0
p4,2,20.0,walker2d-medium-replay-v2,stable,1,-0.006078538917856591,0.0,-0.006494657935924408,0.0
p4,2,20.0,walker2d-medium-v2,collapsed,2,-0.01804656538143945,0.0,-0.018228021165200836,0.0
p4,3,4.0,halfcheetah-expert-v2,stable,2,0.00116479425883953,0.00116479425883953,0.0011246830452088519,0.0011246830452088519
p4,3,4.0,halfcheetah-medium-replay-v2,stable,2,0.006875411373605922,0.006875411373605922,0.0067839670591395285,0.0067839670591395285
p4,3,4.0,halfcheetah-medium-v2,stable,2,0.001699665056369648,0.001699665056369648,0.001587165119733891,0.001587165119733891
p4,3,4.0,hopper-expert-v2,stable,2,0.002922575949939832,0.002922575949939832,0.0027570506619022384,0.0027570506619022384
p4,3,4.0,hopper-medium-replay-v2,stable,2,0.0015520399720270195,0.0015520399720270195,0.0014003842375767128,0.0014003842375767128
p4,3,4.0,hopper-medium-v2,stable,2,0.0024111698445195007,0.0024111698445195007,0.0022060332210461775,0.0022060332210461775
p4,3,4.0,walker2d-expert-v2,stable,2,0.001241614793085044,0.001241614793085044,0.0011022730600181996,0.0011022730600181996
p4,3,4.0,walker2d-medium-replay-v2,stable,2,0.005995064839407482,0.005995064839407482,0.005762772092920532,0.005762772092920532
p4,3,4.0,walker2d-medium-v2,stable,2,0.0017228475391214415,0.0017228475391214415,0.0016138456489627195,0.0016138456489627195
p4,3,7.0,halfcheetah-expert-v2,stable,2,0.0008260350058144628,0.0008260350058144628,0.0007729217861502935,0.0007729217861502935
p4,3,7.0,halfcheetah-medium-replay-v2,stable,2,0.005854214994903684,0.005854214994903684,0.005701085582607401,0.005701085582607401
p4,3,7.0,halfcheetah-medium-v2,stable,2,0.001431504985098142,0.001431504985098142,0.0013010969390363503,0.0013010969390363503
p4,3,7.0,hopper-expert-v2,stable,2,0.002735887898321243,0.002735887898321243,0.002543657997818194,0.002543657997818194
p4,3,7.0,hopper-medium-replay-v2,stable,2,-0.0013038959507771786,0.0,-0.0015602675689943002,0.0
p4,3,7.0,hopper-medium-v2,stable,2,0.0017385582344684458,0.0017385582344684458,0.0015745516715337526,0.0015745516715337526
p4,3,7.0,walker2d-expert-v2,stable,2,0.0011038398269660465,0.0011038398269660465,0.000992601433243312,0.000992601433243312
p4,3,7.0,walker2d-medium-replay-v2,stable,2,0.0037272249307294114,0.0037272249307294114,0.0035581087624765306,0.0035581087624765306
p4,3,7.0,walker2d-medium-v2,stable,2,0.0014427335946285424,0.0014427335946285424,0.0012556022586935889,0.0012556022586935889
p4,3,10.0,halfcheetah-expert-v2,collapsed,1,0.0008264241652486959,0.0008264241652486959,0.0007593918958015422,0.0007593918958015422
p4,3,10.0,halfcheetah-expert-v2,stable,1,0.0008383627460100129,0.0008383627460100129,0.0007634541231622549,0.0007634541231622549
p4,3,10.0,halfcheetah-medium-replay-v2,stable,2,0.005566454580644642,0.005566454580644642,0.005464609139508081,0.005464609139508081
