environment,T,seed,hop_index,ref_actor,new_actor,delta_L,q_term,transport_mean_sq,mean_q_gain,return_delta,j_ref,j_new,label,optimizer_diverged,c_k
walker2d-expert-v2,20,0,2,mart_mu1,mart_mu2,-0.017954502782954164,-0.032211518784384566,0.014257016001430403,7685879757.135803,-2.3362984442873085,13.837169135716703,11.500870691429395,objective_up_return_down,True,4.190999573533325e-12
walker2d-expert-v2,20,0,3,mart_mu2,mart_mu3,0.08396864252718057,-0.02799236863949088,0.11196101116667145,6700677954.395317,-12.10179864728034,11.500870691429395,-0.6009279558509462,objective_not_up_return_down,True,4.177542754629665e-12
walker2d-expert-v2,20,0,4,mart_mu3,mart_mu4,0.5712863472334393,0.18901396848516686,0.38227237874827247,-45371976728.29372,2.4285104169883276,-0.6009279558509462,1.8275824611373814,other_obj_not_up_return_up,True,4.165874667904843e-12
walker2d-expert-v2,20,1,2,mart_mu1,mart_mu2,-0.014177878649458658,-0.10302578470639405,0.08884790605693539,24917652064.998596,-0.48176814340235485,2.3093506045397363,1.8275824611373814,objective_up_return_flat,True,4.1346505857633604e-12
walker2d-expert-v2,20,1,3,mart_mu2,mart_mu3,-0.002340333351402159,-0.007752241156568205,0.0054119078051660455,1894261189.7435913,0.0,1.8275824611373814,1.8275824611373814,objective_up_return_flat,True,4.092487983464178e-12
walker2d-expert-v2,20,1,4,mart_mu3,mart_mu4,-0.0025874107809896844,-0.006333868982854197,0.0037464582018645123,1548881549.3255615,0.0,1.8275824611373814,1.8275824611373814,objective_up_return_flat,True,4.0893178601115044e-12
walker2d-expert-v2,4,0,2,mart_mu1,mart_mu2,0.0010875798813590972,-0.0003614875314793918,0.0014490674128384892,0.08882054686546326,0.962148701266031,109.22375828707568,110.18590698834171,other_obj_not_up_return_flat,False,0.004069863834850488
walker2d-expert-v2,4,0,3,mart_mu2,mart_mu3,0.0010222393888193568,-0.00026380713844034135,0.0012860465272596982,0.06483136117458344,0.9759307191792601,110.18590698834171,111.16183770752097,other_obj_not_up_return_flat,False,0.004069128484437322
walker2d-expert-v2,4,0,4,mart_mu3,mart_mu4,0.0011311207557093762,-0.00015995801599636423,0.0012910787717057403,0.03931532800197601,0.44571233642302843,111.16183770752097,111.607550043944,other_obj_not_up_return_flat,False,0.004068591669598296
walker2d-expert-v2,4,1,2,mart_mu1,mart_mu2,0.0012654066580999334,-0.00028888117923344704,0.0015542878373333805,0.07120704650878906,1.7601906773468272,108.53738441939367,110.2975750967405,other_obj_not_up_return_up,False,0.0040569184286809385
walker2d-expert-v2,4,1,3,mart_mu2,mart_mu3,0.001162494899625398,-0.0002490454334958738,0.0014115403331212719,0.061396703124046326,0.4975410007810268,110.2975750967405,110.79511609752153,other_obj_not_up_return_flat,False,0.004056332357011103
walker2d-expert-v2,4,1,4,mart_mu3,mart_mu4,0.0012816305637314113,-0.00031872460275921607,0.0016003551664906274,0.07858435809612274,1.2081850402811227,110.79511609752153,112.00330113780265,other_obj_not_up_return_up,False,0.004055827527017003
walker2d-expert-v2,7,0,2,mart_mu1,mart_mu2,0.0008802066129144073,-0.0006065008431361029,0.0014867074560505102,0.08621370792388916,1.5450660998307058,110.09588007829048,111.64094617812118,other_obj_not_up_return_up,False,0.007034853943082132
walker2d-expert-v2,7,0,3,mart_mu2,mart_mu3,0.0008766063011008533,-0.0005067833738266398,0.001383389674927493,0.07205142080783844,1.4441465247940357,111.64094617812118,113.08509270291522,other_obj_not_up_return_up,False,0.007033634703446502
walker2d-expert-v2,7,0,4,mart_mu3,mart_mu4,0.0012057813466331618,-0.0003951437409570179,0.0016009250875901797,0.05618730187416077,0.4986714467197828,113.08509270291522,113.583764149635,other_obj_not_up_return_flat,False,0.007032616405785011
walker2d-expert-v2,7,1,2,mart_mu1,mart_mu2,0.001077947111097408,-0.0006421901835343448,0.0017201372946317529,0.09130990505218506,1.7677316256097129,109.80062358086361,111.56835520647333,other_obj_not_up_return_up,False,0.007033083466326275
walker2d-expert-v2,7,1,3,mart_mu2,mart_mu3,0.0011461744110410448,-0.0005423819474806718,0.0016885563585217166,0.07713280618190765,0.9011752213817914,111.56835520647333,112.46953042785512,other_obj_not_up_return_flat,False,0.007031793270966115
