source,environment,T,seed,actor_id,n_episodes,normalized_score_mean,raw_return_mean,episode_length_mean,n_timeout,timeout_rate,reward_per_step_pooled,reward_per_step_episode_mean
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,mart_mu4,10,58.82742669992454,7023.351345240534,1000.0,10,1.0,7.023351345240535,7.023351345240533
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,two_actor_deploy,10,58.547854388821065,6988.641942514,1000.0,10,1.0,6.9886419425140005,6.988641942513999
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,10,1,two_actor_target,10,51.12489662500975,6067.068452531218,1000.0,10,1.0,6.067068452531218,6.067068452531219
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,mart_mu1,10,52.03580263208791,6180.159063403597,1000.0,10,1.0,6.180159063403598,6.180159063403598
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,mart_mu2,10,55.215550415024936,6574.930440909282,1000.0,10,1.0,6.574930440909282,6.574930440909282
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,mart_mu3,10,57.98461107119722,6918.714276690186,1000.0,10,1.0,6.918714276690186,6.918714276690186
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,mart_mu4,10,57.75822040803213,6890.607470725357,1000.0,10,1.0,6.8906074707253575,6.890607470725357
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,two_actor_deploy,10,59.09278884491208,7056.296530414258,1000.0,10,1.0,7.056296530414258,7.056296530414258
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,0,two_actor_target,10,51.899875808710135,6163.283505036121,1000.0,10,1.0,6.163283505036121,6.163283505036121
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,mart_mu1,10,51.85221298590953,6157.366080291374,1000.0,10,1.0,6.157366080291373,6.157366080291374
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,mart_mu2,10,56.17790560572625,6694.408559998333,1000.0,10,1.0,6.694408559998333,6.694408559998334
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,mart_mu3,10,58.72908184038407,7011.141654937509,1000.0,10,1.0,7.011141654937509,7.011141654937509
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,mart_mu4,10,59.53994062954217,7111.8112246676155,1000.0,10,1.0,7.1118112246676155,7.111811224667616
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,two_actor_deploy,10,58.52484452925254,6985.785227271733,1000.0,10,1.0,6.985785227271733,6.985785227271732
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,14,1,two_actor_target,10,52.6186553002677,6252.521265190456,1000.0,10,1.0,6.252521265190456,6.252521265190454
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,mart_mu1,10,53.417102067794815,6351.64986022339,1000.0,10,1.0,6.35164986022339,6.35164986022339
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,mart_mu2,10,58.23669254816961,6950.010643163672,1000.0,10,1.0,6.950010643163672,6.950010643163672
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,mart_mu3,10,60.58990549222956,7242.166241313875,1000.0,10,1.0,7.242166241313875,7.2421662413138765
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,mart_mu4,10,60.8669391081653,7276.5604604922655,1000.0,10,1.0,7.276560460492266,7.276560460492266
first90_ext_csv_0c8c50cd,halfcheetah-medium-v2,20,0,two_actor_deploy,10,60.68232858755705,7253.640733992684,1000.0,10,1.0,7.253640733992683,7.253640733992684
