env,tau,seed,method,total_hops,checkpoint,explicit_q_term,q_scale_norm,config_option_inferred,eval_step,final_critic_loss,max_critic_loss,d4rl_score,td_residual_mean,td_residual_p50,td_residual_p90,td_residual_p99,td_residual_max,q_data_abs_mean,q_data_abs_p50,q_data_abs_p90,q_data_abs_p99,q_data_abs_max,td_target_abs_mean,td_target_abs_p50,td_target_abs_p90,td_target_abs_p99,td_target_abs_max,target_actor_abs_mean,target_actor_abs_p50,target_actor_abs_p90,target_actor_abs_p99,target_actor_abs_max
hopper-medium-replay-v2,4.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau4_expl2_seed0/params_1000000.pkl,False,True,False,1000000,19.432098388671875,70.5806884765625,98.06293606603522,13.70503169552103,4.623317718505859,26.770792770385754,146.59257049560537,467.7375793457031,177.44439974217676,189.04442596435547,252.03790283203125,271.15505950927735,275.335693359375,177.12497598771006,189.1854705810547,252.5523864746094,270.07833404541014,275.8775329589844,0.4935741174874882,0.4651987999677658,0.92560213804245,0.998681515455246,0.9999594688415527
hopper-medium-replay-v2,4.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau4_expl2_seed1/params_1000000.pkl,False,True,False,1000000,15.591070175170898,32.29951477050781,99.93338767910191,15.292951528535923,6.177354335784912,33.123762512207044,146.17290649414022,506.2583312988281,178.9041118574096,190.24796295166016,251.7452850341797,267.4171923828125,272.416259765625,178.80214894842356,190.98209381103516,251.27434997558595,267.58706329345705,272.5802917480469,0.49000036663392166,0.478558287024498,0.9167866706848145,0.9989693015813828,0.9999807476997375
hopper-medium-replay-v2,7.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau7_expl2_seed0/params_1000000.pkl,False,True,False,1000000,15.136870384216309,69.15233612060547,99.986157593325,10.660774379828581,3.700924873352051,26.84969711303713,122.11951446533176,259.4376220703125,192.96925578662194,204.9366455078125,263.3972381591797,279.6803466796875,284.547607421875,193.3573459754698,206.4983901977539,264.4235046386719,279.86566986083983,284.6700744628906,0.49497640051777125,0.4729977250099182,0.9137090444564819,0.9987540274858475,0.9999492168426514
hopper-medium-replay-v2,7.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau7_expl2_seed1/params_1000000.pkl,False,True,False,1000000,11.861152648925781,48.76002502441406,100.19434508972238,12.296534254081052,4.517320394515991,23.918155479431185,144.90397445678687,470.1921081542969,190.94146736711264,201.9182891845703,264.50664672851565,280.96181396484377,287.0296630859375,191.13416217826307,203.1487045288086,263.73046875,281.72092834472653,287.3690490722656,0.49348869172126797,0.4819094389677048,0.9205556213855743,0.9989698320627213,0.999994158744812
hopper-medium-replay-v2,10.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau10_expl2_seed0/params_1000000.pkl,False,True,False,1000000,12.988184928894043,92.53288269042969,99.34475652922569,18.864132777973282,3.5014318227767944,23.84531173706055,103.08966156005859,4518.7958984375,203.98108711000532,218.79278564453125,273.03582763671875,286.9622998046875,291.3134460449219,203.8920374889858,218.7750244140625,273.6348815917969,288.49872344970703,291.252685546875,0.4968816672670376,0.47872741520404816,0.9128538370132446,0.998977854847908,0.999998927116394
hopper-medium-replay-v2,10.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau10_expl2_seed1/params_1000000.pkl,False,True,False,1000000,12.728086471557617,58.877464294433594,99.06708191802615,13.04648150949106,4.3150458335876465,21.87379035949708,207.1936524963378,531.946044921875,201.93347281822935,215.77948760986328,271.8494506835938,286.61684173583984,291.74560546875,201.8975733295083,216.4539031982422,272.61594848632814,287.4551626586914,292.75860595703125,0.49105852682456924,0.4776375889778137,0.9103597104549408,0.9984189420938492,0.9999772906303406
hopper-medium-replay-v2,14.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau14_expl2_seed0/params_1000000.pkl,False,True,False,1000000,13.738009452819824,86.62159729003906,100.19066938182408,14.691527456866424,2.895115613937378,18.59183959960938,125.15796592712364,2626.53759765625,207.17126052640378,221.5953369140625,277.29306640625003,290.91296936035155,295.4139709472656,207.48021526332013,222.38362884521484,276.9885498046875,290.9264077758789,298.0179748535156,0.4931214733632032,0.4761490076780319,0.9178821742534637,0.9996434926986695,0.9999963045120239
hopper-medium-replay-v2,14.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau14_expl2_seed1/params_1000000.pkl,False,True,False,1000000,10.368508338928223,60.28015899658203,99.38238529662638,9.852665529479054,3.403063178062439,20.297126197814947,118.44515861511222,202.6606903076172,210.9168360340409,227.02822875976562,275.1248687744141,289.4860870361328,293.417236328125,210.58397610858083,226.78165435791016,274.36273193359375,289.2594400024414,295.3135986328125,0.493278938874937,0.49097055196762085,0.9057299494743347,0.9995207101106643,0.9999971985816956
hopper-medium-replay-v2,20.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau20_expl2_seed0/params_1000000.pkl,False,True,False,1000000,14.129082679748535,108.66281127929688,52.63800236280834,16.87865905070248,3.4031444787979126,22.87758769989014,221.92330108642557,2414.3935546875,219.58533691847697,234.46063232421875,287.87041320800785,301.768190612793,304.8385009765625,219.3719391762279,234.102783203125,288.521142578125,300.4074658203125,303.4773864746094,0.4963743447937456,0.48647868633270264,0.8996639847755432,0.9995439767837524,0.9999995231628418
hopper-medium-replay-v2,20.0,1,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-medium-replay-v2_tau20_expl2_seed1/params_1000000.pkl,False,True,False,1000000,13.952211380004883,61.9472541809082,101.89847975304419,15.62915586463214,3.1565569639205933,24.915735626220705,105.519750213623,2248.578125,219.99293528869748,237.35846710205078,285.40089416503906,297.3713165283203,302.1042175292969,219.93665889278054,237.00424194335938,285.1166564941406,296.37854766845703,300.4012145996094,0.49042152760845664,0.4803232252597809,0.8927409946918488,0.9993182539939881,0.9999819397926331
hopper-expert-v2,4.0,0,exp2m,2,/home/ext_csv/td3_bc_jax/results_expl2_matched/hopper-expert-v2_tau4_expl2_seed0/params_1000000.pkl,False,True,False,1000000,1.5416748523712158,3.9949116706848145,109.643771169907,0.6361202045263781,0.17894607037305832,1.2748149394989023,8.398664665222167,23.403701782226562,345.8233523052186,352.1575012207031,364.62578735351565,373.02042205810545,377.8267517089844,345.9063092060387,352.1495056152344,364.7009002685547,373.05964904785156,377.72613525390625,0.4711021876628365,0.4120679944753647,0.9696650505065918,1.0,1.0
