env,tau,seed,method,total_hops,d4rl_score,critic_displacement_sq_mean_metric_mean,final_displacement_sq_mean_metric_mean,final_over_critic_rms
hopper-expert-v2,7.0,0,exp2m,2,4.1528613832678865,0.6616084893308314,0.7532845175663511,1.0670357888609523
hopper-expert-v2,7.0,1,exp2m,2,0.6246462904194809,0.11371195571912913,0.24160575554163102,1.457640993145071
hopper-medium-replay-v2,10.0,0,exp2m,2,99.34475652922569,0.15071542635400834,0.23027726588901656,1.236080283050128
hopper-medium-replay-v2,10.0,1,exp2m,2,99.06708191802615,0.16141165184333087,0.23453625827766314,1.2054176747611176
hopper-medium-replay-v2,14.0,0,exp2m,2,100.19066938182408,0.17061546683795745,0.25523267569841274,1.2230914697977464
hopper-medium-replay-v2,14.0,1,exp2m,2,99.38238529662638,0.17282418333540475,0.2522752930232289,1.2081896276429396
hopper-medium-replay-v2,20.0,0,exp2m,2,52.63800236280834,0.19748046298528732,0.3179538453717976,1.2688783065697895
hopper-medium-replay-v2,20.0,1,exp2m,2,101.89847975304419,0.1994846858749247,0.3084891536320407,1.2435554892843534
hopper-medium-replay-v2,4.0,0,exp2m,2,98.06293606603522,0.13802793314124331,0.1779356051005512,1.135397509780795
hopper-medium-replay-v2,4.0,1,exp2m,2,99.93338767910191,0.13993527664415864,0.17321213886247663,1.1125654187814096
hopper-medium-replay-v2,7.0,0,exp2m,2,99.986157593325,0.14303955117316067,0.20411776707305632,1.1945720111901126
hopper-medium-replay-v2,7.0,1,exp2m,2,100.19434508972238,0.15557052902218887,0.2149510218223761,1.1754552302119876
hopper-medium-v2,10.0,0,exp2m,2,49.105707932567256,0.05840173527750897,0.07369509593662776,1.1233275715767173
hopper-medium-v2,10.0,1,exp2m,2,67.12615056701817,0.05731467515284519,0.06976241042385331,1.1032598696983285
hopper-medium-v2,14.0,0,exp2m,2,0.7429364161710422,0.7815621366733153,0.9855371461671097,1.1229353231725603
hopper-medium-v2,14.0,1,exp2m,2,0.5806781629045685,0.9011201701071538,1.0652789935608755,1.0872773130239397
hopper-medium-v2,20.0,0,exp2m,2,0.7326837906838056,0.9415075196684018,1.0649185616420211,1.0635215685273425
hopper-medium-v2,20.0,1,exp2m,2,1.819903610444258,0.7667888115870215,0.8393623302197676,1.04625333084546
hopper-medium-v2,4.0,0,exp2m,2,57.18580032529641,0.05536031806627312,0.060769186710757594,1.0477132197122094
hopper-medium-v2,4.0,1,exp2m,2,49.70440722704766,0.0543116519332622,0.05788700190711845,1.0323905542134377
hopper-medium-v2,7.0,0,exp2m,2,51.82546408794517,0.057303890906038185,0.06662590869195306,1.0782749524333546
hopper-medium-v2,7.0,1,exp2m,2,74.8985857826769,0.05565783051410198,0.06388798371464692,1.0713872014626147
walker2d-expert-v2,10.0,0,exp2m,2,9.433292559009638,0.3713430419519783,0.44504705747104784,1.0947509269978528
walker2d-expert-v2,10.0,1,exp2m,2,-0.2521075829650587,0.5573941799344672,0.6186261934814171,1.0534961128310951
walker2d-expert-v2,14.0,0,exp2m,2,9.255723108108338,0.4178948267948521,0.4945197445753209,1.0878232097050191
walker2d-expert-v2,14.0,1,exp2m,2,-0.2713346597061892,0.6044153535381449,0.6752614732030392,1.0569835832152434
walker2d-expert-v2,20.0,0,exp2m,2,0.7780265575606113,0.4567957346335547,0.5248759110707678,1.071932159922272
walker2d-expert-v2,20.0,1,exp2m,2,-0.2713346597061892,0.6199397466008377,0.6856436151853039,1.051657872812196
walker2d-expert-v2,4.0,0,exp2m,2,111.28320025333711,0.024989071334748713,0.02640985858706669,1.0280351864849
walker2d-expert-v2,4.0,1,exp2m,2,111.91516284060899,0.02489286378133607,0.026180282058600412,1.0255332113119333
walker2d-expert-v2,7.0,0,exp2m,2,2.316451693327024,0.4090725745893193,0.6292770783910476,1.2402829521494574
walker2d-expert-v2,7.0,1,exp2m,2,-0.3933431632963215,0.5076099602141054,0.5914891889245179,1.0794644343524058
walker2d-medium-replay-v2,10.0,0,exp2m,2,78.50475278191584,0.15197813174291888,0.2636768294452256,1.3171809264057426
walker2d-medium-replay-v2,10.0,1,exp2m,2,88.97541781234537,0.1632674204940312,0.26409011542650984,1.2718219250783809
walker2d-medium-replay-v2,14.0,0,exp2m,2,8.813338740368149,0.20205690337379031,0.32582177021026,1.2698522797618628
walker2d-medium-replay-v2,14.0,1,exp2m,2,22.357508093777405,0.26800671076959826,0.4635791983797343,1.3151919310609734
walker2d-medium-replay-v2,20.0,0,exp2m,2,13.254418879844174,0.32059622555205736,0.5023130908507606,1.2517224622703638
walker2d-medium-replay-v2,20.0,1,exp2m,2,0.41062022581790153,0.32488413568273516,0.5433693013245785,1.2932524110862367
walker2d-medium-replay-v2,4.0,0,exp2m,2,82.59195851765277,0.11284453956106189,0.16788447232922818,1.2197336086977135
walker2d-medium-replay-v2,4.0,1,exp2m,2,74.0763230580064,0.11916417423727997,0.17723211765893554,1.2195464867262673
walker2d-medium-replay-v2,7.0,0,exp2m,2,90.34291926056919,0.13974455879918152,0.22782765805636665,1.2768379125561742
walker2d-medium-replay-v2,7.0,1,exp2m,2,91.52729423071641,0.1350686865884002,0.21322763455925506,1.2564476724534488
walker2d-medium-v2,10.0,0,exp2m,2,2.3012326106291296,0.5342786153823451,0.6220096877347744,1.0789831896641753
