env,tau,td3_score,mpi3_score,score_delta_mpi3_minus_td3,td3_dcrit,mpi3_dcrit,mpi3_dfinal,td3_collapsed,mpi3_collapsed,collapse_discordant
hopper-medium-replay-v2,7.0,38.042258788660504,97.98231165255741,59.94005286389691,0.16124383403744058,0.13057585579039355,0.23134326741373673,False,False,False
hopper-medium-replay-v2,10.0,44.248588591292986,99.66830489234626,55.41971630105327,0.18100824858027376,0.13673822233404087,0.2646352841228967,False,False,False
hopper-medium-replay-v2,14.0,34.159896009525504,100.49720368373161,66.3373076742061,0.2136710762997729,0.14615918785777482,0.29746306600036476,False,False,False
hopper-medium-replay-v2,20.0,34.54949387397046,99.88171245462324,65.33221858065278,0.2385924956137564,0.1560923224618458,0.3365324196258328,False,False,False
hopper-medium-v2,4.0,60.334592176977,58.118547028867575,-2.2160451481094228,0.057681339116268604,0.05384101606893443,0.06060767782864307,False,False,False
hopper-medium-v2,7.0,48.11834405779964,94.41786935409436,46.299525296294725,0.39898901767855,0.055166537123928494,0.06949816300100353,False,False,False
hopper-medium-v2,10.0,0.7444242889300299,99.53478084829442,98.79035655936438,0.8713925658963291,0.05598220011984134,0.0747797606589013,True,False,True
hopper-medium-v2,14.0,0.6544374983971992,88.13781441042933,87.48337691203213,1.0187302973169885,0.05961775596170821,0.09567712132592632,True,False,True
hopper-medium-v2,20.0,0.737255984777946,51.52157044026069,50.78431445548274,1.086225186176435,0.45084305023327165,0.6063255574352191,True,False,True
walker2d-expert-v2,4.0,1.8192364198070738,112.04694645342538,110.22771003361831,0.4644081529655093,0.025362393836308783,0.02790849418728847,True,False,True
walker2d-expert-v2,7.0,1.7544165567970587,59.52001222352176,57.7655956667247,0.5322571127684483,0.04281402478372254,0.10887418947076988,True,False,True
walker2d-expert-v2,10.0,1.6391674002415961,0.8116282468334517,-0.8275391534081444,0.5907655702887951,0.4905852428948947,0.5643048524554786,True,True,False
walker2d-expert-v2,14.0,0.2815922574420547,1.0152680409976478,0.7336757835555932,0.608967857554731,0.47579191780803143,0.7029893427476281,True,True,False
walker2d-expert-v2,20.0,2.3351468229241332,1.0152680409976478,-1.3198787819264854,0.7305035779838818,0.5278548467785669,0.7163346343677119,True,True,False
walker2d-medium-replay-v2,4.0,61.9435796057405,88.30562146433144,26.362041858590935,0.1377568887318814,0.10994541101669242,0.18673442190817724,False,False,False
walker2d-medium-replay-v2,7.0,46.95763825691791,90.35570070762427,43.398062450706355,0.18665503168551822,0.1190493371845669,0.23099192597691598,False,False,False
walker2d-medium-replay-v2,10.0,73.54799477297465,88.61248793073375,15.064493157759102,0.1965945228651087,0.13022280670857533,0.2740937750623864,False,False,False
walker2d-medium-replay-v2,14.0,4.552201610248022,51.78634413877742,47.234142528529404,0.3762810992942818,0.1451492391098803,0.32587105162331564,True,False,True
walker2d-medium-replay-v2,20.0,16.046385889140016,79.44305667277844,63.39667078363843,0.39758964403443775,0.16497391118210913,0.3783822284616445,True,False,True
walker2d-medium-v2,4.0,51.71536068824522,88.60277111478635,36.88741042654113,0.06797922054986927,0.03378989527151122,0.04784767671795542,False,False,False
walker2d-medium-v2,7.0,1.0595419249524731,45.881715799366276,44.82217387441381,0.44974403356841464,0.2520962167987548,0.3424521503750775,True,False,True
walker2d-medium-v2,10.0,2.3351468229241332,49.45099586984431,47.11584904692018,0.7985012025092146,0.06759027504303106,0.23807819033797806,True,False,True
walker2d-medium-v2,14.0,11.228283095767184,2.3351468229241332,-8.893136272843051,0.521627795554231,0.674893709281605,0.795633257372856,True,True,False
walker2d-medium-v2,20.0,1.0550014642750805,2.3351468229241332,1.2801453586490528,0.7227732737954966,0.7041876739904183,0.7784005262244591,True,True,False
