env,tau,seed,method,hop,total_hops,n_states,action_dim,eta_tau_over_k,q_scale_own_ref,explicit_q_term,q_scale_norm,h_eff,h_eff_over_eta,target_coefficient_d_eta,h_eff_over_target_coefficient,clipped_target_h_eff,clipped_target_h_eff_over_eta,clipped_target_h_eff_over_target_coefficient,explicit_raw_fidelity,projection_attenuation,actor_fit_realization,target_fit_error,directional_realization,cos_step_grad_ratio,raw_target_component_clip_fraction,raw_target_state_clip_fraction,raw_to_clip_norm_mean,actor_to_clipped_target_norm_mean,actor_saturation_component_fraction,actor_saturation_state_fraction,actual_step_norm_mean,actual_step_norm_p50,actual_step_norm_p90,actual_step_norm_p99,actual_step_norm_max,clip_target_step_norm_mean,clip_target_step_norm_p50,clip_target_step_norm_p90,clip_target_step_norm_p99,clip_target_step_norm_max,own_q_gain_mean,own_linear_gain_mean,own_nonlinear_correction_mean,own_step_sq_mean,own_kappa_q_ratio_of_means,own_kappa_grad_ratio_of_means,own_grad_prev_norm_mean,own_grad_next_norm_mean,canonical_q_gain_mean,canonical_linear_gain_mean,canonical_nonlinear_correction_mean,canonical_step_sq_mean,canonical_kappa_q_ratio_of_means,canonical_kappa_grad_ratio_of_means,canonical_grad_prev_norm_mean,canonical_grad_next_norm_mean,eval_step,final_critic_loss,max_critic_loss,d4rl_score
hopper-medium-v2,10.0,1,exp2m,1,2,512,3,5.0,247.84188942773437,False,True,4.118085617289133,0.8236171218105924,15.0,0.27453904096958287,6.0715334831429555,1.2143066941999778,0.40476889860635107,0.7226734686001556,0.6142941080358876,2.683547216914015,6.776645161434239,0.7123873603778873,0.16654561318154523,0.09765625,0.2734375,0.0691511332988739,0.33385205268859863,0.048828125,0.138671875,0.3488738557880424,0.2971358299255371,0.6338631272315981,1.0625023865699768,1.6236112117767334,0.124621318978825,0.10585338622331619,0.2412363499403,0.43783464968204483,0.8855372071266174,0.25557175278663635,0.28702425956726074,-0.03145251423120499,0.1719440221786499,-0.3658459538569599,-0.35822217893326036,2.992090940475464,2.8623592853546143,0.26309770345687866,0.28325599431991577,-0.020158302038908005,0.1719440221786499,-0.23447515779976036,-0.44822653977377014,3.7770276069641113,3.7262043952941895,1000000,3.075155735015869,1091.6239013671875,67.12615056701817
hopper-medium-v2,10.0,1,exp2m,2,2,512,3,5.0,248.09842018945312,False,True,3.195299828618531,0.6390599644455863,15.0,0.2130199884325554,5.305453287657097,1.061090655409238,0.35369688560800855,0.5607890225490781,0.581719793778571,0.9893697492045599,0.7490936760508061,0.6148788188664246,0.3701370052620027,0.09049479166666667,0.24609375,0.06852297484874725,0.10625645518302917,0.052734375,0.14453125,0.11765089043183252,0.10269203037023544,0.21211254745721816,0.3555017602443695,0.4624897837638855,0.11704590178669605,0.09842721745371819,0.22555485814809803,0.388842912018299,0.5048297643661499,0.20672279596328735,0.20588290691375732,0.0008398902136832476,0.019355114549398422,0.08678737370453678,0.21013033067711512,2.8623592853546143,2.852084159851074,0.227412611246109,0.2159973680973053,0.011415248736739159,0.019355114549398422,1.1795582826248416,1.1544805326517533,3.7262043952941895,3.7550740242004395,1000000,3.075155735015869,1091.6239013671875,67.12615056701817
hopper-medium-v2,14.0,0,exp2m,1,2,512,3,7.0,543941165056.0,False,True,2.8915804003330257,0.4130829137431709,21.0,0.1376943047121944,2.8985679144697096,0.4140811300469855,0.13802704348044947,0.7119342776503182,0.23865772019048645,1.0112458104855566,0.024448725969583775,0.9990846197186879,0.5705369535789929,0.6516927083333334,0.951171875,5.161971092224121,0.151544451713562,0.5462239583333334,0.92578125,1.4049953505018493,1.47579824924469,2.140769171714783,2.6051498484611506,2.7618205547332764,1.375816572955955,1.448443591594696,2.13741614818573,2.6001039195060724,2.764970064163208,150598959104.0,143571746816.0,7027198976.0,2.344686508178711,5994147978.006492,5638647128.943108,152969609216.0,162051899392.0,-0.37690508365631104,-0.29252558946609497,-0.08437947928905487,2.344686508178711,-0.07197506245278244,-0.1659773924602071,3.897616147994995,4.928542137145996,1000000,3.4199504656120297e+22,3.4199504656120297e+22,0.7429364161710422
hopper-medium-v2,14.0,0,exp2m,2,2,512,3,7.0,694537420800.0,False,True,0.1739157435513511,0.024845106186128577,21.0,0.008281702069930194,0.17415346269721427,0.024879066064060516,0.00829302202925162,0.9323106275346978,0.07222633572067157,1.0123046942292209,0.017964613267905563,1.0033980894945105,0.11326944745132751,0.8216145833333334,0.958984375,4.852418422698975,0.025583600625395775,0.796875,0.955078125,0.310326734526825,0.2952381819486618,0.5964763879776002,0.804106279015541,1.3786423206329346,0.3046177491942217,0.2916543334722519,0.5890763401985172,0.7960533356666564,1.3786423206329346,7641374208.0,7401760768.0,239613680.0,0.14446169137954712,3317331551.7094483,3255537900.4181185,162051899392.0,163213705216.0,-0.05569549649953842,-0.020385999232530594,-0.035309504717588425,0.14446169137954712,-0.488842432013438,-0.6041298606217561,4.928542137145996,4.997310638427734,1000000,3.4199504656120297e+22,3.4199504656120297e+22,0.7429364161710422
hopper-medium-v2,14.0,1,exp2m,1,2,512,3,7.0,624596353024.0,False,True,3.827078399480475,0.5467254848590315,21.0,0.18224182845990747,3.8523941455551314,0.5503420200073873,0.18344734017717418,0.658111827483363,0.26728108640323833,1.0007435915990412,0.015863147145718563,0.9928123156981843,0.6813293070886238,0.87109375,0.9921875,4.92023229598999,0.10184609144926071,0.779296875,0.982421875,1.5669481883523986,1.587689220905304,2.1804835557937623,2.8138376045227034,3.0844595432281494,1.5672458034969168,1.5663071870803833,2.156968522071838,2.8138376045227034,3.0844595432281494,227853221888.0,204809519104.0,23043698688.0,2.7033605575561523,17048187329.914032,16556263190.766663,176632725504.0,201709125632.0,-1.3092625141143799,-0.9790048003196716,-0.33025768399238586,2.7033605575561523,-0.24433121349472076,-0.2948333821601839,3.7770276069641113,4.825959205627441,1000000,9.21947462173725e+22,9.21947462173725e+22,0.5806781629045685
hopper-medium-v2,14.0,1,exp2m,2,2,512,3,7.0,852449624064.0,False,True,0.24959875822489924,0.03565696540976137,21.0,0.011885655147906795,0.2519800124339705,0.03599714458199987,0.01199904820542762,0.9477213450313791,0.07931664474273588,0.9908476092252435,0.008419412098185045,0.9866798270278835,0.15123487309923284,0.9622395833333334,0.998046875,4.914665222167969,0.009735152125358582,0.9479166666666666,0.994140625,0.21804827852144282,0.027839140966534615,0.784826421737671,1.3139066362380976,1.4936357736587524,0.22028097301335148,0.028245686553418636,0.7937454223632814,1.3205607414245601,1.5065897703170776,14273738752.0,12519726080.0,1754012416.0,0.16027456521987915,21887594006.643753,21523185765.849014,201709125632.0,205412466688.0,0.01725894957780838,-0.04390978068113327,0.061168741434812546,0.16027456521987915,0.7632993736017798,0.14161805014666776,4.825959205627441,5.124110698699951,1000000,9.21947462173725e+22,9.21947462173725e+22,0.5806781629045685
hopper-medium-v2,20.0,0,exp2m,1,2,512,3,10.0,1231215001600.0,False,True,3.715537301217402,0.3715537297501864,30.0,0.12385124333262965,3.7276922205220395,0.3727692216794347,0.12425640730931585,0.7293369606821575,0.2182428961386056,1.0070511459814122,0.016433395355160745,0.9988593980634141,0.5635192930708789,0.84375,0.998046875,6.51976203918457,0.10614894330501556,0.7545572916666666,0.986328125,1.5893070108941174,1.6270511150360107,2.2644875288009647,2.713077986240387,2.8479955196380615,1.580488509272982,1.5903123617172241,2.2510898590087893,2.706499614715576,2.8528409004211426,319146164224.0,297217818624.0,21928337408.0,2.8245224952697754,15527111125.571,16113119414.374458,302435729408.0,326569918464.0,-0.574840784072876,-0.2317570447921753,-0.34308376908302307,2.8245224952697754,-0.24293222549505195,-0.2442054904257094,3.897616147994995,4.967884063720703,1000000,1.248267572605878e+23,1.248267572605878e+23,0.7326837906838056
hopper-medium-v2,20.0,0,exp2m,2,2,512,3,10.0,1550361165824.0,False,True,0.1416067551146573,0.014160675497305054,30.0,0.004720225168915169,0.14264899087707014,0.014264899073442115,0.0047549663609840155,0.968226710235796,0.04744273260350033,1.0027086224659953,0.01967548882981891,0.9928744628985339,0.09922434953268024,0.935546875,1.0,6.290007591247559,0.014225324615836143,0.9166666666666666,1.0,0.17770305964347033,0.034308118745684624,0.5365296125411987,1.017182080745697,1.3626494407653809,0.1782610430395768,0.03794032149016857,0.5488258183002476,1.0313269084691992,1.2913551330566406,11195373568.0,10337223680.0,858148928.0,0.09589996933937073,17896748965.152195,17277483763.959194,326569918464.0,328350498816.0,0.11417745798826218,0.16528134047985077,-0.05110388249158859,0.09589996933937073,-1.0657746298514255,-0.9670885220930185,4.967884063720703,4.992537975311279,1000000,1.248267572605878e+23,1.248267572605878e+23,0.7326837906838056
hopper-medium-v2,20.0,1,exp2m,1,2,512,3,10.0,1287335444480.0,False,True,2.9767312447212593,0.2976731241744528,30.0,0.09922437479096718,2.9844052205192617,0.2984405217534856,0.09948017398414866,0.7767924775667578,0.15005228390317324,1.0070830938930573,0.017357553185636292,0.9984294398445227,0.6566145366028998,0.9290364583333334,0.986328125,8.373586654663086,0.06720644235610962,0.8684895833333334,0.958984375,1.4306795981829055,1.425069510936737,2.040505361557007,2.6730288338661192,2.8290774822235107,1.4192094777354214,1.4156227111816406,2.0267359733581545,2.536619825363159,2.8290774822235107,459524833280.0,428913885184.0,30610958336.0,2.3003664016723633,26613984781.44695,24594600943.972614,402323013632.0,439076454400.0,-0.5376524329185486,-0.12642118334770203,-0.41123127937316895,2.3003664016723633,-0.3575354580787887,-0.3340521703195043,3.7770276069641113,4.195662975311279,1000000,2.4935687142091995e+23,2.4935687142091995e+23,1.819903610444258
hopper-medium-v2,20.0,1,exp2m,2,2,512,3,10.0,1746858672128.0,False,True,0.06500629224684971,0.006500629218184342,30.0,0.002166876407506032,0.06576301305956707,0.006576301299380405,0.002192100434588202,0.9829134418617216,0.034289347019623904,0.9962247936418478,0.014187508969340614,0.989138066845244,0.06343333806799653,0.9654947916666666,0.986328125,7.514128684997559,0.008046000264585018,0.9485677083333334,0.984375,0.1066353523647785,0.0001278519630432129,0.42924552261829424,1.0595267856121058,1.2003332376480103,0.10542229774544376,0.00011083483695983887,0.42940538525581406,1.0570299667119967,1.1385273933410645,8486834176.0,7907035648.0,579798016.0,0.07312672585248947,15857347090.387375,16238425333.182364,439076454400.0,440131551232.0,-0.15855732560157776,-0.11973628401756287,-0.03882104158401489,0.07312672585248947,-1.0617468736010403,-0.9696584569961059,4.195662975311279,4.338659763336182,1000000,2.4935687142091995e+23,2.4935687142091995e+23,1.819903610444258
