environment,tau,seed,bar_step,bar_score,mcep_step,mcep_score,delta_mcep_minus_bar,bar_collapsed_lt20,mcep_collapsed_lt20,transition,mcep_execution_class,mcep_resume_step
hopper-expert-v2,10,0,1000000,104.47755266307814,1000000,91.43749177563322,-13.040060887444923,false,false,both_stable,gpu_designated,
hopper-expert-v2,10,1,1000000,54.001627605264979,1000000,48.425405868258252,-5.5762217370067262,false,false,both_stable,gpu_designated,
hopper-expert-v2,14,0,1000000,2.1770552316666429,1000000,2.4283750239096449,0.25131979224300194,true,true,both_collapsed,gpu_designated,
hopper-expert-v2,14,1,1000000,7.4540853908077604,1000000,1.8199036104442581,-5.6341817803635026,true,true,both_collapsed,gpu_designated,
hopper-expert-v2,20,0,1000000,1.8196078126231339,1000000,1.8196078126231339,0,true,true,both_collapsed,gpu_designated,
hopper-expert-v2,20,1,1000000,1.8199036104442581,1000000,1.8199036104442581,0,true,true,both_collapsed,gpu_designated,
halfcheetah-medium-v2,4,0,1000000,53.510563790656164,1000000,51.96211206856087,-1.5484517220952938,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,4,1,1000000,54.435546092074702,1000000,53.399948481866247,-1.0355976102084554,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,7,0,1000000,56.056034173852879,1000000,56.116596192603737,0.06056201875085776,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,7,1,1000000,57.286103694070448,1000000,56.87281195146975,-0.41329174260069834,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,10,0,1000000,58.643528145948807,1000000,56.430772309738977,-2.2127558362098299,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,10,1,1000000,60.398567676057425,1000000,59.219435917624729,-1.1791317584326961,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,14,0,1000000,58.437819400326873,1000000,59.104401089897394,0.66658168957052055,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,14,1,1000000,61.006278730217353,1000000,60.335957796309138,-0.67032093390821501,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,20,0,1000000,60.916202233410367,1000000,61.115196096693047,0.19899386328268065,false,false,both_stable,gpu_designated,
halfcheetah-medium-v2,20,1,1000000,63.073455584753461,1000000,62.515889832482245,-0.5575657522712163,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,4,0,1000000,50.69474934464683,1000000,48.803657254551538,-1.8910920900952917,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,4,1,1000000,49.557175451369993,1000000,50.36517029200175,0.80799484063175697,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,7,0,1000000,52.299738552606975,1000000,49.383696825328443,-2.9160417272785324,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,7,1,1000000,52.261668141803099,1000000,49.748129015725198,-2.5135391260779016,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,10,0,1000000,51.305179155232906,1000000,52.430705976940985,1.1255268217080783,false,false,both_stable,gpu_designated,
halfcheetah-medium-replay-v2,10,1,1000000,54.661863342095927,1000000,52.746251999906193,-1.9156113421897345,false,false,both_stable,gpu_designated,
